7>[    3.482389] random 0033 0000 0000 cadf44cd e6e5b548: add_disk_randomness(8:0) cadf44cd e6e5b548
[    4.426068] random 0039 0000 0000 225fd6c1 4af59fab: add_disk_randomness(8:0) 225fd6c1 4af59fab
[    4.426072] random 0039 0000 0000 225fd6c1 4af59fab: add_timer_randomness(.. 8388864) with jiffies: 16191360706816171863, cycles: -2255383371188261414
[    4.426080] random 0039 0000 0000 225fd6c1 4af59fab: add_disk_randomness(8:0) 225fd6c1 4af59fab
[    4.426083] random 0039 0000 0000 225fd6c1 4af59fab: add_timer_randomness(.. 8388864) with jiffies: 16191472238526914391, cycles: -2255271839477518886
[    4.426956] random 0039 0000 0000 225fd6c1 4af59fab: add_disk_randomness(8:0) 225fd6c1 4af59fab
[    4.426960] random 0039 0000 0000 225fd6c1 4af59fab: add_timer_randomness(.. 8388864) with jiffies: 16200502510345969495, cycles: -2246241567658463782
[    4.427908] random 0039 0000 0000 225fd6c1 4af59fab: add_disk_randomness(8:0) 225fd6c1 4af59fab
[    4.427911] random 0039 0000 0000 225fd6c1 4af59fab: add_timer_randomness(.. 8388864) with jiffies: 16210306121091440471, cycles: -2236437956912992806
[    4.428284] random 0039 0000 0000 225fd6c1 4af59fab: add_disk_randomness(8:0) 225fd6c1 4af59fab
[    4.428288] random 0039 0000 0000 225fd6c1 4af59fab: add_timer_randomness(.. 8388864) with jiffies: 16214184596818812759, cycles: -2232559481185620518
[    4.428345] random 0039 0000 0000 225fd6c1 4af59fab: add_disk_randomness(8:0) 225fd6c1 4af59fab
[    4.428349] random 0039 0000 0000 225fd6c1 4af59fab: add_timer_randomness(.. 8388864) with jiffies: 16214810936194555735, cycles: -2231933141809877542
[    4.428421] random 0039 0000 0000 225fd6c1 4af59fab: add_disk_randomness(8:0) 225fd6c1 4af59fab
[    4.428425] random 0039 0000 0000 225fd6c1 4af59fab: add_timer_randomness(.. 8388864) with jiffies: 16215593316027129687, cycles: -2231150761977303590
[    4.428473] random 0039 0000 0000 225fd6c1 4af59fab: add_disk_randomness(8:0) 225fd6c1 4af59fab
[    4.428477] random 0039 0000 0000 225fd6c1 4af59fab: add_timer_randomness(.. 8388864) with jiffies: 16216132381667417943, cycles: -2230611696337015334
[    4.428759] random 0039 0000 0000 225fd6c1 4af59fab: add_disk_randomness(8:0) 225fd6c1 4af59fab
[    4.428763] random 0039 0000 0000 225fd6c1 4af59fab: add_timer_randomness(.. 8388864) with jiffies: 16219077578181238616, cycles: -2227666499823194662
[    4.428881] random 0039 0000 0000 225fd6c1 4af59fab: rand_read_num 268 get_random_bytes(16): sig fffffcc7 225fd6c1 4af59fab
[    4.428883] random 0039 0000 0000 225fd6c1 4af59fab: extract_entropy(.. 16 ..)
[    4.428886] random 0039 0000 0000 225fd6c1 4af59fab: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.428888] random 0039 0000 0000 225fd6c1 4af59fab: extract_entropy(.. 16 ..)
[    4.428891] random 0039 0000 0000 225fd6c1 4af59fab: trying to extract 128 bits from input
[    4.428893] random 0039 0000 0000 225fd6c1 4af59fab: debiting 0 entropy credits from input
[    4.428895] random 0039 0000 0000 225fd6c1 4af59fab: extract_entropy account returned: 0 
[    4.428898] random 0039 0000 0000 225fd6c1 4af59fab: urand_change_num 812 xfer_secondary_pool(16): pool_sig fffffcc7, data_sig 00000000, bytes_mixed 0 225fd6c1 4af59fab
[    4.428901] random 0039 0000 0000 225fd6c1 4af59fab: trying to extract 128 bits from nonblocking
[    4.428904] random 0039 0000 0000 225fd6c1 4af59fab: debiting 128 entropy credits from nonblocking (unlimited)
[    4.428906] random 0039 0000 0000 225fd6c1 4af59fab: extract_entropy account returned: 16 
[    4.428909] random 0039 0000 0000 225fd6c1 4af59fab: urand_change_num 813 extract_buf: pool_sig fffffcc7, data_sig ffffff8d, bytes_mixed 20 225fd6c1 4af59fab
[    4.428914] random 0039 0000 0000 225fd6c1 4af59fab: urand_change_num 814 extract_buf: pool_sig fffff842, data_sig 00000050, bytes_mixed 20 225fd6c1 4af59fab
[    4.429002] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.429005] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16221573594130341720, cycles: -2225170483874091558
[    4.429066] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.429070] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16222236732785876824, cycles: -2224507345218556454
[    4.429119] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.429122] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16222780638854307672, cycles: -2223963439150125606
[    4.429169] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.429172] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16223295094331989848, cycles: -2223448983672443430
[    4.429218] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.429222] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16223803347876896600, cycles: -2222940730127536678
[    4.429267] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.429270] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16224305279229943640, cycles: -2222438798774489638
[    4.429317] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.429320] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16224819760477429592, cycles: -2221924317527003686
[    4.429366] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.429369] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16225324968890523480, cycles: -2221419109113909798
[    4.429468] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.429473] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16226385413495775064, cycles: -2220358664508658214
[    4.429536] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.429539] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16227073140839079768, cycles: -2219670937165353510
[    4.429589] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.429593] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16227626508720463704, cycles: -2219117569283969574
[    4.429640] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.429644] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16228149966449598296, cycles: -2218594111554834982
[    4.429690] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.429694] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16228662888623955800, cycles: -2218081189380477478
[    4.429740] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.429743] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16229176016956743512, cycles: -2217568061047689766
[    4.429791] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.429794] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16229699049484115800, cycles: -2217045028520317478
[    4.429840] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.429843] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16230205430423281496, cycles: -2216538647581151782
[    4.429890] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.429894] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16230726216682757976, cycles: -2216017861321675302
[    4.429993] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.429997] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16231784745732595544, cycles: -2214959332271837734
[    4.430054] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.430058] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16232414843204722520, cycles: -2214329234799710758
[    4.430108] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.430112] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16232969078669500248, cycles: -2213774999334933030
[    4.430158] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.430161] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16233478543395184472, cycles: -2213265534609248806
[    4.430207] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.430211] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16233987634458713944, cycles: -2212756443545719334
[    4.430280] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.430283] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16234735620193181528, cycles: -2212008457811251750
[    4.430782] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.430785] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16239907830264422232, cycles: -2206836247740011046
[    4.431712] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.431716] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16249492831469494104, cycles: -2197251246534939174
[    4.431779] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.431783] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16250178510113398616, cycles: -2196565567891034662
[    4.431835] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.431839] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16250756067250593624, cycles: -2195988010753839654
[    4.431901] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.431905] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16251440216886140760, cycles: -2195303861118292518
[    4.431953] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.431957] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16251975554494816088, cycles: -2194768523509617190
[    4.432005] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.432009] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16252510733189701464, cycles: -2194233344814731814
[    4.432057] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.432060] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16253040525995597656, cycles: -2193703552008835622
[    4.432109] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.432113] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16253577938073476952, cycles: -2193166139930956326
[    4.432183] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.432187] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16254341428639883096, cycles: -2192402649364550182
[    4.432235] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.432239] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16254879330344034136, cycles: -2191864747660399142
[    4.432287] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.432291] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16255412138216972120, cycles: -2191331939787461158
[    4.432343] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.432347] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16255994213659762520, cycles: -2190749864344670758
[    4.432395] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.432398] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16256521257686589272, cycles: -2190222820317844006
[    4.432448] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.432451] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16257066228906909528, cycles: -2189677849097523750
[    4.432499] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.432499] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16257579322879958872, cycles: -2189164755124474406
[    4.432530] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.432534] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16257913887947415385, cycles: -2188830190057017894
[    4.432590] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.432594] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16258532556511567705, cycles: -2188211521492865574
[    4.432653] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.432657] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16259181487415287641, cycles: -2187562590589145638
[    4.432707] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.432711] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16259738128061751129, cycles: -2187005949942682150
[    4.432759] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.432762] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16260269132048424793, cycles: -2186474945956008486
[    4.432810] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.432814] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16260802622821162841, cycles: -2185941455183270438
[    4.432874] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.432878] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16261457570974064473, cycles: -2185286507030368806
[    4.432926] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.432929] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16261989296515243865, cycles: -2184754781489189414
[    4.432977] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.432980] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16262516237462855513, cycles: -2184227840541577766
[    4.433028] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.433031] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16263043191295369049, cycles: -2183700886709064230
[    4.433079] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.433082] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16263566314017054553, cycles: -2183177763987378726
[    4.433130] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.433133] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16264089539817955161, cycles: -2182654538186478118
[    4.433186] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.433189] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16264670567288725337, cycles: -2182073510715707942
[    4.433241] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.433245] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16265241604665565017, cycles: -2181502473338868262
[    4.433293] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.433297] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16265774507027783513, cycles: -2180969570976649766
[    4.433344] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.433348] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16266299562484752217, cycles: -2180444515519681062
[    4.433406] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.433410] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16266937975013564249, cycles: -2179806102990869030
[    4.433716] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.433720] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16270134272495378265, cycles: -2176609805509055014
[    4.433994] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.433998] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16272997920465149785, cycles: -2173746157539283494
[    4.434451] RANDOM get_random_int call with cycles 50418116059618, jiffies 4294893401 and pid 1
[    4.434811] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.434815] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16281407079883661145, cycles: -2165336998120772134
[    4.434875] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.434879] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16282072597951078233, cycles: -2164671480053355046
[    4.435022] <30>udevd[364]: starting version 175
[    4.437511] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.437516] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16309225772038414170, cycles: -2137518305966019110
[    4.437706] Adding 1046520k swap on /dev/sda5.  Priority:-1 extents:1 across:1046520k 
[    4.438089] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.438093] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16315175744852385626, cycles: -2131568333152047654
[    4.438153] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.438157] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16315834854828597082, cycles: -2130909223175836198
[    4.438500] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.438504] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16319408727180369754, cycles: -2127335350824063526
[    4.439310] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.439586] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16329245069871603546, cycles: -2117499008132829734
[    4.439699] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.439884] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16332749355163246426, cycles: -2113994722841186854
[    4.440944] random 0039 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.440947] random 0039 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16344574491050827611, cycles: -2102169586953605670
[    4.441563] RANDOM get_random_int call with cycles 50418133113838, jiffies 4294893403 and pid 1
[    4.441872] random 0039 0000 0000 031e24fc 879d3098: rand_read_num 269 get_random_bytes(16): sig fffff67e 031e24fc 879d3098
[    4.441875] random 0039 0000 0000 031e24fc 879d3098: extract_entropy(.. 16 ..)
[    4.441877] random 0039 0000 0000 031e24fc 879d3098: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.441880] random 0039 0000 0000 031e24fc 879d3098: extract_entropy(.. 16 ..)
[    4.441882] random 0039 0000 0000 031e24fc 879d3098: trying to extract 128 bits from input
[    4.441885] random 0039 0000 0000 031e24fc 879d3098: debiting 0 entropy credits from input
[    4.441887] random 0039 0000 0000 031e24fc 879d3098: extract_entropy account returned: 0 
[    4.441890] random 0039 0000 0000 031e24fc 879d3098: urand_change_num 815 xfer_secondary_pool(16): pool_sig fffff67e, data_sig 00000000, bytes_mixed 0 031e24fc 879d3098
[    4.441893] random 0039 0000 0000 031e24fc 879d3098: trying to extract 128 bits from nonblocking
[    4.441895] random 0039 0000 0000 031e24fc 879d3098: debiting 128 entropy credits from nonblocking (unlimited)
[    4.441898] random 0039 0000 0000 031e24fc 879d3098: extract_entropy account returned: 16 
[    4.441901] random 0039 0000 0000 031e24fc 879d3098: urand_change_num 816 extract_buf: pool_sig fffff67e, data_sig ffffff87, bytes_mixed 20 031e24fc 879d3098
[    4.441906] random 0039 0000 0000 031e24fc 879d3098: urand_change_num 817 extract_buf: pool_sig ffffff86, data_sig fffffe05, bytes_mixed 20 031e24fc 879d3098
[    4.442478] random 0039 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.442482] random 0039 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 16360382594925125467, cycles: -2086361483079307814
[    4.442742] random 0039 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.442746] random 0039 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 16363101652820877147, cycles: -2083642425183556134
[    4.442812] random 0039 0000 0000 e97b6927 9bedf73e: rand_read_num 270 get_random_bytes(16): sig 00000104 e97b6927 9bedf73e
[    4.442815] random 0039 0000 0000 e97b6927 9bedf73e: extract_entropy(.. 16 ..)
[    4.442817] random 0039 0000 0000 e97b6927 9bedf73e: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.442820] random 0039 0000 0000 e97b6927 9bedf73e: extract_entropy(.. 16 ..)
[    4.442822] random 0039 0000 0000 e97b6927 9bedf73e: trying to extract 128 bits from input
[    4.442824] random 0039 0000 0000 e97b6927 9bedf73e: debiting 0 entropy credits from input
[    4.442826] random 0039 0000 0000 e97b6927 9bedf73e: extract_entropy account returned: 0 
[    4.442829] random 0039 0000 0000 e97b6927 9bedf73e: urand_change_num 818 xfer_secondary_pool(16): pool_sig 00000104, data_sig 00000000, bytes_mixed 0 e97b6927 9bedf73e
[    4.442832] random 0039 0000 0000 e97b6927 9bedf73e: trying to extract 128 bits from nonblocking
[    4.442835] random 0039 0000 0000 e97b6927 9bedf73e: debiting 128 entropy credits from nonblocking (unlimited)
[    4.442837] random 0039 0000 0000 e97b6927 9bedf73e: extract_entropy account returned: 16 
[    4.442841] random 0039 0000 0000 e97b6927 9bedf73e: urand_change_num 819 extract_buf: pool_sig 00000104, data_sig fffffe75, bytes_mixed 20 e97b6927 9bedf73e
[    4.442845] random 0039 0000 0000 6f49a9b4 f5c168bd: urand_change_num 820 extract_buf: pool_sig 00000194, data_sig ffffffd5, bytes_mixed 20 6f49a9b4 f5c168bd
[    4.443583] random 0039 0000 0000 6f49a9b4 f5c168bd: add_disk_randomness(8:0) 6f49a9b4 f5c168bd
[    4.443587] random 0039 0000 0000 6f49a9b4 f5c168bd: add_timer_randomness(.. 8388864) with jiffies: 16371764717821026139, cycles: -2074979360183407142
[    4.443857] random 0039 0000 0000 6f49a9b4 f5c168bd: add_disk_randomness(8:0) 6f49a9b4 f5c168bd
[    4.443861] random 0039 0000 0000 6f49a9b4 f5c168bd: add_timer_randomness(.. 8388864) with jiffies: 16374577942874742619, cycles: -2072166135129690662
[    4.443918] random 0039 0000 0000 6f49a9b4 f5c168bd: add_disk_randomness(8:0) 6f49a9b4 f5c168bd
[    4.443921] random 0039 0000 0000 6f49a9b4 f5c168bd: add_timer_randomness(.. 8388864) with jiffies: 16375205506316164955, cycles: -2071538571688268326
[    4.443976] random 0039 0000 0000 6f49a9b4 f5c168bd: add_disk_randomness(8:0) 6f49a9b4 f5c168bd
[    4.443979] random 0039 0000 0000 6f49a9b4 f5c168bd: add_timer_randomness(.. 8388864) with jiffies: 16375802897612332891, cycles: -2070941180392100390
[    4.444033] random 0039 0000 0000 6f49a9b4 f5c168bd: add_disk_randomness(8:0) 6f49a9b4 f5c168bd
[    4.444037] random 0039 0000 0000 6f49a9b4 f5c168bd: add_timer_randomness(.. 8388864) with jiffies: 16376397587374071643, cycles: -2070346490630361638
[    4.444091] random 0039 0000 0000 6f49a9b4 f5c168bd: add_disk_randomness(8:0) 6f49a9b4 f5c168bd
[    4.444094] random 0039 0000 0000 6f49a9b4 f5c168bd: add_timer_randomness(.. 8388864) with jiffies: 16376986732333031259, cycles: -2069757345671402022
[    4.444149] random 0039 0000 0000 6f49a9b4 f5c168bd: add_disk_randomness(8:0) 6f49a9b4 f5c168bd
[    4.444152] random 0039 0000 0000 6f49a9b4 f5c168bd: add_timer_randomness(.. 8388864) with jiffies: 16377587598257741659, cycles: -2069156479746691622
[    4.444207] random 0039 0000 0000 6f49a9b4 f5c168bd: add_disk_randomness(8:0) 6f49a9b4 f5c168bd
[    4.444210] random 0039 0000 0000 6f49a9b4 f5c168bd: add_timer_randomness(.. 8388864) with jiffies: 16378183181372677979, cycles: -2068560896631755302
[    4.444264] random 0039 0000 0000 6f49a9b4 f5c168bd: add_disk_randomness(8:0) 6f49a9b4 f5c168bd
[    4.444268] random 0039 0000 0000 6f49a9b4 f5c168bd: add_timer_randomness(.. 8388864) with jiffies: 16378777742285397851, cycles: -2067966335719035430
[    4.449059] random 0039 0000 0000 6f49a9b4 f5c168bd: add_disk_randomness(8:0) 6f49a9b4 f5c168bd
[    4.449064] random 0039 0000 0000 6f49a9b4 f5c168bd: add_timer_randomness(.. 8388864) with jiffies: 16428168049418231645, cycles: -2018576028586201638
[    4.449067] random 0039 0000 0000 6f49a9b4 f5c168bd: added 1 entropy credits to input
[    4.449457] RANDOM get_random_int call with cycles 50418152043946, jiffies 4294893405 and pid 1
