
<7>[    3.371917] random 0031 0000 0000 cadf44cd e6e5b548: add_timer_randomness(.. 8388864) with jiffies: 16272799613235158608, cycles: -2173944464769282691
[    4.282630] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.282633] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 7206410589554270004, cycles: 7206410585259380094
[    4.282678] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.282681] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 7206905292477357876, cycles: 7206905288182467966
[    4.282725] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.282729] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 7207396477822230324, cycles: 7207396473527340414
[    4.282773] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.282776] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 7207886400446717748, cycles: 7207886396151827838
[    4.282821] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.282824] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 7208378681008250676, cycles: 7208378676713360766
[    4.282870] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.282874] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 7208891255290257204, cycles: 7208891250995367294
[    4.282933] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.282937] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 7209535732312891188, cycles: 7209535728018001278
[    4.282997] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.283002] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 7210203569662648116, cycles: 7210203565367758206
[    4.283268] random 0048 0000 0000 031e24fc 879d3098: rand_read_num 269 get_random_bytes(16): sig fffff67e 031e24fc 879d3098
[    4.283271] random 0048 0000 0000 031e24fc 879d3098: extract_entropy(.. 16 ..)
[    4.283273] random 0048 0000 0000 031e24fc 879d3098: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.283276] random 0048 0000 0000 031e24fc 879d3098: extract_entropy(.. 16 ..)
[    4.283278] random 0048 0000 0000 031e24fc 879d3098: trying to extract 128 bits from input
[    4.283281] random 0048 0000 0000 031e24fc 879d3098: debiting 0 entropy credits from input
[    4.283283] random 0048 0000 0000 031e24fc 879d3098: extract_entropy account returned: 0 
[    4.283286] random 0048 0000 0000 031e24fc 879d3098: urand_change_num 815 xfer_secondary_pool(16): pool_sig fffff67e, data_sig 00000000, bytes_mixed 0 031e24fc 879d3098
[    4.283302] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.283306] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 7213337182096777013, cycles: 7213337177801887102
[    4.283313] random 0048 0000 0000 031e24fc 879d3098: trying to extract 128 bits from nonblocking
[    4.283316] random 0048 0000 0000 031e24fc 879d3098: debiting 128 entropy credits from nonblocking (unlimited)
[    4.283318] random 0048 0000 0000 031e24fc 879d3098: extract_entropy account returned: 16 
[    4.283322] random 0048 0000 0000 031e24fc 879d3098: urand_change_num 816 extract_buf: pool_sig fffff67e, data_sig ffffff87, bytes_mixed 20 031e24fc 879d3098
[    4.283326] random 0048 0000 0000 031e24fc 879d3098: urand_change_num 817 extract_buf: pool_sig ffffff86, data_sig fffffe05, bytes_mixed 20 031e24fc 879d3098
[    4.283596] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.283610] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7216362509815439157, cycles: 7216362505520549246
[    4.283675] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.283679] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7217181113402187573, cycles: 7217181109107297662
[    4.283753] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.283756] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7217979900009832245, cycles: 7217979895714942334
[    4.283812] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.283815] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7218587539097968437, cycles: 7218587534803078526
[    4.283887] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.283890] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7219359164332433205, cycles: 7219359160037543294
[    4.283945] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.283948] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7219957088204545845, cycles: 7219957083909655934
[    4.284002] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.284005] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7220544704155148085, cycles: 7220544699860258174
[    4.284099] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.284117] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7221548644170653493, cycles: 7221548639875763582
[    4.284175] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.284179] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7222329765577809717, cycles: 7222329761282919806
[    4.284233] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.284236] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7222923128194654005, cycles: 7222923123899764094
[    4.284293] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.284297] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7223542840435859253, cycles: 7223542836140969342
[    4.284356] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.284359] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7224189585201225525, cycles: 7224189580906335614
[    4.284416] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.284419] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7224807145663815477, cycles: 7224807141368925566
[    4.284474] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.284478] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7225412491239415605, cycles: 7225412486944525694
[    4.284540] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.284543] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7226085959291297589, cycles: 7226085954996407678
[    4.284626] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.284630] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7226977478537830197, cycles: 7226977474242940286
[    4.284705] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.284709] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7227791469329702709, cycles: 7227791465034812798
[    4.284764] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.284767] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7228393052513951541, cycles: 7228393048219061630
[    4.284821] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.284825] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7228982163113172789, cycles: 7228982158818282878
[    4.284880] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.284884] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7229594479420694325, cycles: 7229594475125804414
[    4.284942] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.284946] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7230233299971399477, cycles: 7230233295676509566
[    4.285019] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.285024] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7231034534710402869, cycles: 7231034530415512958
[    4.285094] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.285097] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7231789783234567989, cycles: 7231789778939678078
[    4.285154] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.285158] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7232414842710056757, cycles: 7232414838415166846
[    4.285213] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.285216] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7233017572650573621, cycles: 7233017568355683710
[    4.285271] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.285275] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7233622222441471797, cycles: 7233622218146581886
[    4.285338] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.285342] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7234307389984268085, cycles: 7234307385689378174
[    4.285397] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.285401] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7234918237412974389, cycles: 7234918233118084478
[    4.285455] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.285458] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7235508945740029749, cycles: 7235508941445139838
[    4.285521] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.285525] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7236193082490674997, cycles: 7236193078195785086
[    4.285578] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.285582] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7236781742118330165, cycles: 7236781737823440254
[    4.285655] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.285659] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7237573003943272245, cycles: 7237572999648382334
[    4.285951] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.285954] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7240617281057644341, cycles: 7240617276762754430
[    4.288429] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.288433] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7266144956052332342, cycles: 7266144951757442430
[    4.288505] RANDOM get_random_int call with cycles 14836508993811, jiffies 4294893366 and pid 1
[    4.288898] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.288902] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7270973482840547126, cycles: 7270973478545657214
[    4.288963] random 0048 0000 0000 e97b6927 9bedf73e: add_disk_randomness(8:0) e97b6927 9bedf73e
[    4.288967] random 0048 0000 0000 e97b6927 9bedf73e: add_timer_randomness(.. 8388864) with jiffies: 7271645726826749750, cycles: 7271645722531859838
[    4.289209] random 0048 0000 0000 e97b6927 9bedf73e: rand_read_num 270 get_random_bytes(16): sig 00000104 e97b6927 9bedf73e
[    4.289212] random 0048 0000 0000 e97b6927 9bedf73e: extract_entropy(.. 16 ..)
[    4.289214] random 0048 0000 0000 e97b6927 9bedf73e: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.289217] random 0048 0000 0000 e97b6927 9bedf73e: extract_entropy(.. 16 ..)
[    4.289219] random 0048 0000 0000 e97b6927 9bedf73e: trying to extract 128 bits from input
[    4.289222] random 0048 0000 0000 e97b6927 9bedf73e: debiting 0 entropy credits from input
[    4.289224] random 0048 0000 0000 e97b6927 9bedf73e: extract_entropy account returned: 0 
[    4.289227] random 0048 0000 0000 e97b6927 9bedf73e: urand_change_num 818 xfer_secondary_pool(16): pool_sig 00000104, data_sig 00000000, bytes_mixed 0 e97b6927 9bedf73e
[    4.289230] random 0048 0000 0000 e97b6927 9bedf73e: trying to extract 128 bits from nonblocking
[    4.289232] random 0048 0000 0000 e97b6927 9bedf73e: debiting 128 entropy credits from nonblocking (unlimited)
[    4.289234] random 0048 0000 0000 e97b6927 9bedf73e: extract_entropy account returned: 16 
[    4.289238] random 0048 0000 0000 e97b6927 9bedf73e: urand_change_num 819 extract_buf: pool_sig 00000104, data_sig fffffe75, bytes_mixed 20 e97b6927 9bedf73e
[    4.289243] random 0048 0000 0000 6f49a9b4 f5c168bd: urand_change_num 820 extract_buf: pool_sig 00000194, data_sig ffffffd5, bytes_mixed 20 6f49a9b4 f5c168bd<30>udevd[367]: starting version 175
[    4.292149] random 0048 0000 0000 6f49a9b4 f5c168bd: add_disk_randomness(8:0) 6f49a9b4 f5c168bd
[    4.292154] random 0048 0000 0000 6f49a9b4 f5c168bd: add_timer_randomness(.. 8388864) with jiffies: 7304465955642335031, cycles: 7304465951347445118
[    4.292358] RANDOM get_random_int call with cycles 14836518233790, jiffies 4294893367 and pid 1
[    4.292714] Adding 1046520k swap on /dev/sda5.  Priority:-1 extents:1 across:1046520k 
[    4.293185] random 0048 0000 0000 6f49a9b4 f5c168bd: add_disk_randomness(8:0) 6f49a9b4 f5c168bd
[    4.293189] random 0048 0000 0000 6f49a9b4 f5c168bd: add_timer_randomness(.. 8388864) with jiffies: 7315134796139519799, cycles: 7315134791844629886
[    4.293246] random 0048 0000 0000 6f49a9b4 f5c168bd: add_disk_randomness(8:0) 6f49a9b4 f5c168bd
[    4.293250] random 0048 0000 0000 6f49a9b4 f5c168bd: add_timer_randomness(.. 8388864) with jiffies: 7315759559262265143, cycles: 7315759554967375230
[    4.293405] random 0048 0000 0000 6f49a9b4 f5c168bd: rand_read_num 271 get_random_bytes(16): sig 000002c6 6f49a9b4 f5c168bd
[    4.293408] random 0048 0000 0000 6f49a9b4 f5c168bd: extract_entropy(.. 16 ..)
[    4.293411] random 0048 0000 0000 6f49a9b4 f5c168bd: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.293413] random 0048 0000 0000 6f49a9b4 f5c168bd: extract_entropy(.. 16 ..)
[    4.293416] random 0048 0000 0000 6f49a9b4 f5c168bd: trying to extract 128 bits from input
[    4.293418] random 0048 0000 0000 6f49a9b4 f5c168bd: debiting 0 entropy credits from input
[    4.293420] random 0048 0000 0000 6f49a9b4 f5c168bd: extract_entropy account returned: 0 
[    4.293423] random 0048 0000 0000 6f49a9b4 f5c168bd: urand_change_num 821 xfer_secondary_pool(16): pool_sig 000002c6, data_sig 00000000, bytes_mixed 0 6f49a9b4 f5c168bd
[    4.293426] random 0048 0000 0000 6f49a9b4 f5c168bd: trying to extract 128 bits from nonblocking
[    4.293429] random 0048 0000 0000 6f49a9b4 f5c168bd: debiting 128 entropy credits from nonblocking (unlimited)
[    4.293431] random 0048 0000 0000 6f49a9b4 f5c168bd: extract_entropy account returned: 16 
[    4.293435] random 0048 0000 0000 6f49a9b4 f5c168bd: urand_change_num 822 extract_buf: pool_sig 000002c6, data_sig 00000102, bytes_mixed 20 6f49a9b4 f5c168bd
[    4.293439] random 0048 0000 0000 f3cda507 2c215924: urand_change_num 823 extract_buf: pool_sig fffffffc, data_sig 0000018e, bytes_mixed 20 f3cda507 2c215924
[    4.293670] random 0048 0000 0000 87c6401a 387e9610: add_disk_randomness(8:0) 87c6401a 387e9610
[    4.293674] random 0048 0000 0000 87c6401a 387e9610: add_timer_randomness(.. 8388864) with jiffies: 7320128790837780279, cycles: 7320128786542890366
[    4.294361] random 0048 0000 0000 87c6401a 387e9610: add_disk_randomness(8:0) 87c6401a 387e9610
[    4.294365] random 0048 0000 0000 87c6401a 387e9610: add_timer_randomness(.. 8388864) with jiffies: 7327245504402612023, cycles: 7327245500107722110
[    4.295235] random 0048 0000 0000 87c6401a 387e9610: add_disk_randomness(8:0) 87c6401a 387e9610
[    4.295239] random 0048 0000 0000 87c6401a 387e9610: add_timer_randomness(.. 8388864) with jiffies: 7336245286248832824, cycles: 7336245281953942910
[    4.295248] random 0048 0000 0000 87c6401a 387e9610: add_disk_randomness(8:0) 87c6401a 387e9610
[    4.295251] random 0048 0000 0000 87c6401a 387e9610: add_timer_randomness(.. 8388864) with jiffies: 7336375629916331832, cycles: 7336375625621441918
[    4.295535] random 0048 0000 0000 87c6401a 387e9610: add_disk_randomness(8:0) 87c6401a 387e9610
[    4.295539] random 0048 0000 0000 87c6401a 387e9610: add_timer_randomness(.. 8388864) with jiffies: 7339334866678243128, cycles: 7339334862383353214
[    4.295849] random 0048 0000 0000 87c6401a 387e9610: add_disk_randomness(8:0) 87c6401a 387e9610
[    4.295852] random 0048 0000 0000 87c6401a 387e9610: add_timer_randomness(.. 8388864) with jiffies: 7342566546100641592, cycles: 7342566541805751678
[    4.295974] random 0048 0000 0000 87c6401a 387e9610: rand_read_num 272 get_random_bytes(16): sig ffffff94 87c6401a 387e9610
[    4.295977] random 0048 0000 0000 87c6401a 387e9610: extract_entropy(.. 16 ..)
[    4.295980] random 0048 0000 0000 87c6401a 387e9610: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.295982] random 0048 0000 0000 87c6401a 387e9610: extract_entropy(.. 16 ..)
[    4.295984] random 0048 0000 0000 87c6401a 387e9610: trying to extract 128 bits from input
[    4.295987] random 0048 0000 0000 87c6401a 387e9610: debiting 0 entropy credits from input
[    4.295989] random 0048 0000 0000 87c6401a 387e9610: extract_entropy account returned: 0 
[    4.295992] random 0048 0000 0000 87c6401a 387e9610: urand_change_num 824 xfer_secondary_pool(16): pool_sig ffffff94, data_sig 00000000, bytes_mixed 0 87c6401a 387e9610
[    4.295995] random 0048 0000 0000 87c6401a 387e9610: trying to extract 128 bits from nonblocking
[    4.295998] random 0048 0000 0000 87c6401a 387e9610: debiting 128 entropy credits from nonblocking (unlimited)
[    4.296014] random 0048 0000 0000 87c6401a 387e9610: add_disk_randomness(8:0) 87c6401a 387e9610
[    4.296017] random 0048 0000 0000 87c6401a 387e9610: add_timer_randomness(.. 8388864) with jiffies: 7344266657365155640, cycles: 7344266653070265726
[    4.296022] random 0048 0000 0000 87c6401a 387e9610: extract_entropy account returned: 16 
[    4.296026] random 0048 0000 0000 87c6401a 387e9610: urand_change_num 825 extract_buf: pool_sig ffffff94, data_sig 00000127, bytes_mixed 20 87c6401a 387e9610
[    4.296030] random 0048 0000 0000 87c6401a 387e9610: urand_change_num 826 extract_buf: pool_sig 00000079, data_sig 000000b3, bytes_mixed 20 87c6401a 387e9610
[    4.296315] random 0048 0000 0000 29f71342 797913f7: add_disk_randomness(8:0) 29f71342 797913f7
[    4.296318] random 0048 0000 0000 29f71342 797913f7: add_timer_randomness(.. 8388864) with jiffies: 7347366184938823480, cycles: 7347366180643933566
[    4.296600] random 0048 0000 0000 29f71342 797913f7: add_disk_randomness(8:0) 29f71342 797913f7
[    4.296605] random 0048 0000 0000 29f71342 797913f7: add_timer_randomness(.. 8388864) with jiffies: 7350308340615798584, cycles: 7350308336320908670
[    4.297036] random 0048 0000 0000 29f71342 797913f7: add_disk_randomness(8:0) 29f71342 797913f7
[    4.297040] random 0048 0000 0000 29f71342 797913f7: add_timer_randomness(.. 8388864) with jiffies: 7354793690927128376, cycles: 7354793686632238462
[    4.297119] RANDOM get_random_int call with cycles 14836529652349, jiffies 4294893368 and pid 1
[    4.297496] random 0048 0000 0000 29f71342 797913f7: rand_read_num 273 get_random_bytes(16): sig 00000712 29f71342 797913f7
[    4.297508] random 0048 0000 0000 29f71342 797913f7: extract_entropy(.. 16 ..)
[    4.297533] random 0048 0000 0000 29f71342 797913f7: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.297536] random 0048 0000 0000 29f71342 797913f7: extract_entropy(.. 16 ..)
[    4.297538] random 0048 0000 0000 29f71342 797913f7: trying to extract 128 bits from input
[    4.297540] random 0048 0000 0000 29f71342 797913f7: debiting 0 entropy credits from input
[    4.297543] random 0048 0000 0000 29f71342 797913f7: extract_entropy account returned: 0 
[    4.297546] random 0048 0000 0000 29f71342 797913f7: urand_change_num 827 xfer_secondary_pool(16): pool_sig 00000712, data_sig 00000000, bytes_mixed 0 29f71342 797913f7
[    4.297549] random 0048 0000 0000 29f71342 797913f7: trying to extract 128 bits from nonblocking
[    4.297580] random 0048 0000 0000 29f71342 797913f7: debiting 128 entropy credits from nonblocking (unlimited)
[    4.297582] random 0048 0000 0000 29f71342 797913f7: extract_entropy account returned: 16 
[    4.297586] random 0048 0000 0000 29f71342 797913f7: urand_change_num 828 extract_buf: pool_sig 00000712, data_sig 00000118, bytes_mixed 20 29f71342 797913f7
[    4.297591] random 0048 0000 0000 29f71342 797913f7: urand_change_num 829 extract_buf: pool_sig 00000596, data_sig 000000e4, bytes_mixed 20 29f71342 797913f7
[    4.297784] random 0048 0000 0000 f73bfb50 12a893f8: add_disk_randomness(8:0) f73bfb50 12a893f8
[    4.297788] random 0048 0000 0000 f73bfb50 12a893f8: add_timer_randomness(.. 8388864) with jiffies: 7362496762017144632, cycles: 7362496757722254718
[    4.298240] random 0048 0000 0000 f73bfb50 12a893f8: add_disk_randomness(8:0) f73bfb50 12a893f8
[    4.298244] random 0048 0000 0000 f73bfb50 12a893f8: add_timer_randomness(.. 8388864) with jiffies: 7367195477713805112, cycles: 7367195473418915198
[    4.298381] random 0048 0000 0000 f73bfb50 12a893f8: rand_read_num 274 get_random_bytes(16): sig 000007d6 f73bfb50 12a893f8
[    4.298384] random 0048 0000 0000 f73bfb50 12a893f8: extract_entropy(.. 16 ..)
[    4.298386] random 0048 0000 0000 f73bfb50 12a893f8: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.298389] random 0048 0000 0000 f73bfb50 12a893f8: extract_entropy(.. 16 ..)
[    4.298391] random 0048 0000 0000 f73bfb50 12a893f8: trying to extract 128 bits from input
[    4.298393] random 0048 0000 0000 f73bfb50 12a893f8: debiting 0 entropy credits from input
[    4.298395] random 0048 0000 0000 f73bfb50 12a893f8: extract_entropy account returned: 0 
[    4.298398] random 0048 0000 0000 f73bfb50 12a893f8: urand_change_num 830 xfer_secondary_pool(16): pool_sig 000007d6, data_sig 00000000, bytes_mixed 0 f73bfb50 12a893f8
[    4.298401] random 0048 0000 0000 f73bfb50 12a893f8: trying to extract 128 bits from nonblocking
[    4.298404] random 0048 0000 0000 f73bfb50 12a893f8: debiting 128 entropy credits from nonblocking (unlimited)
[    4.298406] random 0048 0000 0000 f73bfb50 12a893f8: extract_entropy account returned: 16 
[    4.298410] random 0048 0000 0000 f73bfb50 12a893f8: urand_change_num 831 extract_buf: pool_sig 000007d6, data_sig 000000af, bytes_mixed 20 f73bfb50 12a893f8
[    4.298414] random 0048 0000 0000 550565d1 1d836839: urand_change_num 832 extract_buf: pool_sig 00000737, data_sig ffffffb0, bytes_mixed 20 550565d1 1d836839
[    4.298554] random 0048 0000 0000 550565d1 1d836839: add_disk_randomness(8:0) 550565d1 1d836839
[    4.298559] random 0048 0000 0000 550565d1 1d836839: add_timer_randomness(.. 8388864) with jiffies: 7370436520164908856, cycles: 7370436515870018942
[    4.299011] random 0048 0000 0000 550565d1 1d836839: add_disk_randomness(8:0) 550565d1 1d836839
[    4.299015] random 0048 0000 0000 550565d1 1d836839: add_timer_randomness(.. 8388864) with jiffies: 7375137499309334328, cycles: 7375137495014444414
[    4.299220] random 0048 0000 0000 550565d1 1d836839: add_disk_randomness(8:0) 550565d1 1d836839
[    4.299235] random 0048 0000 0000 550565d1 1d836839: add_timer_randomness(.. 8388864) with jiffies: 7377294638043815737, cycles: 7377294633748925822
[    4.299711] random 0048 0000 0000 550565d1 1d836839: add_disk_randomness(8:0) 550565d1 1d836839
[    4.299715] random 0048 0000 0000 550565d1 1d836839: add_timer_randomness(.. 8388864) with jiffies: 7382349067226898233, cycles: 7382349062932008318
[    4.299998] random 0048 0000 0000 550565d1 1d836839: add_disk_randomness(8:0) 550565d1 1d836839
[    4.300002] random 0048 0000 0000 550565d1 1d836839: add_timer_randomness(.. 8388864) with jiffies: 7385302922394787641, cycles: 7385302918099897726
[    4.300280] random 0048 0000 0000 550565d1 1d836839: add_disk_randomness(8:0) 550565d1 1d836839
[    4.300284] random 0048 0000 0000 550565d1 1d836839: add_timer_randomness(.. 8388864) with jiffies: 7388205521422966585, cycles: 7388205517128076670
[    4.300562] random 0048 0000 0000 550565d1 1d836839: add_disk_randomness(8:0) 550565d1 1d836839
[    4.300566] random 0048 0000 0000 550565d1 1d836839: add_timer_randomness(.. 8388864) with jiffies: 7391116186399727417, cycles: 7391116182104837502
[    4.300846] random 0048 0000 0000 550565d1 1d836839: add_disk_randomness(8:0) 550565d1 1d836839
[    4.300850] random 0048 0000 0000 550565d1 1d836839: add_timer_randomness(.. 8388864) with jiffies: 7394038486442893113, cycles: 7394038482148003198
[    4.301140] random 0048 0000 0000 550565d1 1d836839: add_disk_randomness(8:0) 550565d1 1d836839
[    4.301145] random 0048 0000 0000 550565d1 1d836839: add_timer_randomness(.. 8388864) with jiffies: 7397072485700525881, cycles: 7397072481405635966
[    4.301454] random 0048 0000 0000 550565d1 1d836839: add_disk_randomness(8:0) 550565d1 1d836839
[    4.301459] random 0048 0000 0000 550565d1 1d836839: add_timer_randomness(.. 8388864) with jiffies: 7400309383508188985, cycles: 7400309379213299070
[    4.301761] random 0048 0000 0000 550565d1 1d836839: add_disk_randomness(8:0) 550565d1 1d836839
