
<7>[    3.824576] random 0034 0000 0000 cadf44cd e6e5b548: add_timer_randomness(.. 8388864) with jiffies: 5929299877950316225, cycles: 5929299873655426759
[    4.815849] random 0048 0000 0000 f9851b2a e6170790: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.815852] random 0048 0000 0000 f9851b2a e6170790: extract_entropy(.. 16 ..)
[    4.815855] random 0048 0000 0000 f9851b2a e6170790: trying to extract 128 bits from input
[    4.815859] random 0048 0000 0000 f9851b2a e6170790: debiting 0 entropy credits from input
[    4.815862] random 0048 0000 0000 f9851b2a e6170790: extract_entropy account returned: 0 
[    4.815866] random 0048 0000 0000 f9851b2a e6170790: urand_change_num 800 xfer_secondary_pool(16): pool_sig fffffd57, data_sig 00000000, bytes_mixed 0 f9851b2a e6170790
[    4.815869] random 0048 0000 0000 f9851b2a e6170790: trying to extract 128 bits from nonblocking
[    4.815873] random 0048 0000 0000 f9851b2a e6170790: debiting 128 entropy credits from nonblocking (unlimited)
[    4.815877] random 0048 0000 0000 f9851b2a e6170790: extract_entropy account returned: 16 
[    4.815881] random 0048 0000 0000 f9851b2a e6170790: urand_change_num 801 extract_buf: pool_sig fffffd57, data_sig 0000018c, bytes_mixed 20 f9851b2a e6170790
[    4.815886] random 0048 0000 0000 f9851b2a e6170790: urand_change_num 802 extract_buf: pool_sig fffffc6d, data_sig ffffff1f, bytes_mixed 20 f9851b2a e6170790
[    4.816614] random 0048 0000 0000 89f2f797 7c4a038f: add_disk_randomness(8:0) 89f2f797 7c4a038f
[    4.816619] random 0048 0000 0000 89f2f797 7c4a038f: add_timer_randomness(.. 8388864) with jiffies: 16147240006727950265, cycles: -2299504071276491065
[    4.816698] random 0048 0000 0000 89f2f797 7c4a038f: add_disk_randomness(8:0) 89f2f797 7c4a038f
[    4.816702] random 0048 0000 0000 89f2f797 7c4a038f: add_timer_randomness(.. 8388864) with jiffies: 16148100576440147897, cycles: -2298643501564293433
[    4.816713] random 0048 0000 0000 89f2f797 7c4a038f: add_disk_randomness(8:0) 89f2f797 7c4a038f
[    4.816717] random 0048 0000 0000 89f2f797 7c4a038f: add_timer_randomness(.. 8388864) with jiffies: 16148253739268890553, cycles: -2298490338735550777
[    4.817207] random 0048 0000 0000 89f2f797 7c4a038f: add_disk_randomness(8:0) 89f2f797 7c4a038f
[    4.817212] random 0048 0000 0000 89f2f797 7c4a038f: add_timer_randomness(.. 8388864) with jiffies: 16153351264153821113, cycles: -2293392813850620217
[    4.817219] RANDOM get_random_int call with cycles 16251622207926, jiffies 4294893497 and pid 1
[    4.817491] random 0048 0000 0000 89f2f797 7c4a038f: add_disk_randomness(8:0) 89f2f797 7c4a038f
[    4.817495] random 0048 0000 0000 89f2f797 7c4a038f: add_timer_randomness(.. 8388864) with jiffies: 16156267297839701945, cycles: -2290476780164739385
[    4.817713] random 0048 0000 0000 89f2f797 7c4a038f: add_disk_randomness(8:0) 89f2f797 7c4a038f
[    4.817716] random 0048 0000 0000 89f2f797 7c4a038f: add_timer_randomness(.. 8388864) with jiffies: 16158550773037195193, cycles: -2288193304967246137
[    4.818000] random 0048 0000 0000 89f2f797 7c4a038f: rand_read_num 265 get_random_bytes(16): sig ffffff12 89f2f797 7c4a038f
[    4.818001] random 0048 0000 0000 89f2f797 7c4a038f: extract_entropy(.. 16 ..)
[    4.818003] random 0048 0000 0000 89f2f797 7c4a038f: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.818004] random 0048 0000 0000 89f2f797 7c4a038f: extract_entropy(.. 16 ..)
[    4.818005] random 0048 0000 0000 89f2f797 7c4a038f: trying to extract 128 bits from input
[    4.818006] random 0048 0000 0000 89f2f797 7c4a038f: debiting 0 entropy credits from input
[    4.818007] random 0048 0000 0000 89f2f797 7c4a038f: extract_entropy account returned: 0 
[    4.818008] random 0048 0000 0000 89f2f797 7c4a038f: urand_change_num 803 xfer_secondary_pool(16): pool_sig ffffff12, data_sig 00000000, bytes_mixed 0 89f2f797 7c4a038f
[    4.818009] random 0048 0000 0000 89f2f797 7c4a038f: trying to extract 128 bits from nonblocking
[    4.818009] random 0048 0000 0000 89f2f797 7c4a038f: debiting 128 entropy credits from nonblocking (unlimited)
[    4.818010] random 0048 0000 0000 89f2f797 7c4a038f: extract_entropy account returned: 16 
[    4.818051] random 0048 0000 0000 89f2f797 7c4a038f: add_disk_randomness(8:0) 89f2f797 7c4a038f
[    4.818055] random 0048 0000 0000 89f2f797 7c4a038f: add_timer_randomness(.. 8388864) with jiffies: 16162038655848734650, cycles: -2284705422155706681
[    4.818062] random 0048 0000 0000 89f2f797 7c4a038f: urand_change_num 804 extract_buf: pool_sig ffffff12, data_sig ffffffb8, bytes_mixed 20 89f2f797 7c4a038f
[    4.818066] random 0048 0000 0000 89f2f797 7c4a038f: urand_change_num 805 extract_buf: pool_sig 00000015, data_sig 0000002c, bytes_mixed 20 89f2f797 7c4a038f
[    4.819033] random 0048 0000 0000 2b06a9b2 b3c5d98c: add_disk_randomness(8:0) 2b06a9b2 b3c5d98c
[    4.819037] random 0048 0000 0000 2b06a9b2 b3c5d98c: add_timer_randomness(.. 8388864) with jiffies: 16172147750438100922, cycles: -2274596327566340409
[    4.819153] random 0048 0000 0000 2b06a9b2 b3c5d98c: add_disk_randomness(8:0) 2b06a9b2 b3c5d98c
[    4.819158] random 0048 0000 0000 2b06a9b2 b3c5d98c: add_timer_randomness(.. 8388864) with jiffies: 16173389713246183354, cycles: -2273354364758257977
[    4.819401] Adding 1046520k swap on /dev/sda5.  Priority:-1 extents:1 across:1046520k 
[    4.819555] random 0048 0000 0000 2b06a9b2 b3c5d98c: add_disk_randomness(8:0) 2b06a9b2 b3c5d98c
[    4.819558] random 0048 0000 0000 2b06a9b2 b3c5d98c: add_timer_randomness(.. 8388864) with jiffies: 16177522455332446138, cycles: -2269221622671995193
[    4.819813] random 0048 0000 0000 2b06a9b2 b3c5d98c: add_disk_randomness(8:0) 2b06a9b2 b3c5d98c
[    4.819818] random 0048 0000 0000 2b06a9b2 b3c5d98c: add_timer_randomness(.. 8388864) with jiffies: 16180187516899352506, cycles: -2266556561105088825
[    4.820308] random 0048 0000 0000 2b06a9b2 b3c5d98c: add_disk_randomness(8:0) 2b06a9b2 b3c5d98c
[    4.820312] random 0048 0000 0000 2b06a9b2 b3c5d98c: add_timer_randomness(.. 8388864) with jiffies: 16185286721116495802, cycles: -2261457356887945529
[    4.822512] random 0048 0000 0000 2b06a9b2 b3c5d98c: add_disk_randomness(8:0) 2b06a9b2 b3c5d98c
[    4.822516] random 0048 0000 0000 2b06a9b2 b3c5d98c: add_timer_randomness(.. 8388864) with jiffies: 16207984562418933691, cycles: -2238759515585507641
[    4.826236] random 0048 0000 0000 2b06a9b2 b3c5d98c: add_disk_randomness(8:0) 2b06a9b2 b3c5d98c
[    4.826240] random 0048 0000 0000 2b06a9b2 b3c5d98c: add_timer_randomness(.. 8388864) with jiffies: 16246339449300901820, cycles: -2200404628703539513
[    4.826517] random 0048 0000 0000 2b06a9b2 b3c5d98c: rand_read_num 266 get_random_bytes(16): sig fffffdb1 2b06a9b2 b3c5d98c
[    4.826520] random 0048 0000 0000 2b06a9b2 b3c5d98c: extract_entropy(.. 16 ..)
[    4.826523] random 0048 0000 0000 2b06a9b2 b3c5d98c: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.826525] random 0048 0000 0000 2b06a9b2 b3c5d98c: extract_entropy(.. 16 ..)
[    4.826528] random 0048 0000 0000 2b06a9b2 b3c5d98c: trying to extract 128 bits from input
[    4.826530] random 0048 0000 0000 2b06a9b2 b3c5d98c: debiting 0 entropy credits from input
[    4.826532] random 0048 0000 0000 2b06a9b2 b3c5d98c: extract_entropy account returned: 0 
[    4.826535] random 0048 0000 0000 2b06a9b2 b3c5d98c: urand_change_num 806 xfer_secondary_pool(16): pool_sig fffffdb1, data_sig 00000000, bytes_mixed 0 2b06a9b2 b3c5d98c
[    4.826538] random 0048 0000 0000 2b06a9b2 b3c5d98c: trying to extract 128 bits from nonblocking
[    4.826541] random 0048 0000 0000 2b06a9b2 b3c5d98c: debiting 128 entropy credits from nonblocking (unlimited)
[    4.826543] random 0048 0000 0000 2b06a9b2 b3c5d98c: extract_entropy account returned: 16 
[    4.826547] random 0048 0000 0000 2b06a9b2 b3c5d98c: urand_change_num 807 extract_buf: pool_sig fffffdb1, data_sig ffffff1c, bytes_mixed 20 2b06a9b2 b3c5d98c
[    4.826551] random 0048 0000 0000 9a620560 3a385046: urand_change_num 808 extract_buf: pool_sig 00000061, data_sig 000000ad, bytes_mixed 20 9a620560 3a385046
[    4.826599] random 0048 0000 0000 9a620560 3a385046: add_disk_randomness(8:0) 9a620560 3a385046
[    4.826604] random 0048 0000 0000 9a620560 3a385046: add_timer_randomness(.. 8388864) with jiffies: 16250089466851418044, cycles: -2196654611153023289
[    4.826673] random 0048 0000 0000 9a620560 3a385046: add_disk_randomness(8:0) 9a620560 3a385046
[    4.826677] random 0048 0000 0000 9a620560 3a385046: add_timer_randomness(.. 8388864) with jiffies: 16250843529964609468, cycles: -2195900548039831865
[    4.826751] random 0048 0000 0000 9a620560 3a385046: rand_read_num 267 get_random_bytes(16): sig 000004ad 9a620560 3a385046
[    4.826754] random 0048 0000 0000 9a620560 3a385046: extract_entropy(.. 16 ..)
[    4.826756] random 0048 0000 0000 9a620560 3a385046: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.826759] random 0048 0000 0000 9a620560 3a385046: extract_entropy(.. 16 ..)
[    4.826762] random 0048 0000 0000 9a620560 3a385046: trying to extract 128 bits from input
[    4.826766] random 0048 0000 0000 9a620560 3a385046: debiting 0 entropy credits from input
[    4.826769] random 0048 0000 0000 9a620560 3a385046: extract_entropy account returned: 0 
[    4.826774] random 0048 0000 0000 9a620560 3a385046: urand_change_num 809 xfer_secondary_pool(16): pool_sig 000004ad, data_sig 00000000, bytes_mixed 0 9a620560 3a385046
[    4.826777] random 0048 0000 0000 9a620560 3a385046: trying to extract 128 bits from nonblocking
[    4.826780] random 0048 0000 0000 9a620560 3a385046: debiting 128 entropy credits from nonblocking (unlimited)
[    4.826782] random 0048 0000 0000 9a620560 3a385046: extract_entropy account returned: 16 
[    4.826786] random 0048 0000 0000 9a620560 3a385046: urand_change_num 810 extract_buf: pool_sig 000004ad, data_sig 00000101, bytes_mixed 20 9a620560 3a385046
[    4.826791] random 0048 0000 0000 1b575fc1 b01c475f: urand_change_num 811 extract_buf: pool_sig 0000000f, data_sig fffffff6, bytes_mixed 20 1b575fc1 b01c475f
[    4.826919] random 0048 0000 0000 225fd6c1 4af59fab: add_disk_randomness(8:0) 225fd6c1 4af59fab
[    4.826922] random 0048 0000 0000 225fd6c1 4af59fab: add_timer_randomness(.. 8388864) with jiffies: 16253369614979751868, cycles: -2193374463024689465
[    4.827954] random 0048 0000 0000 225fd6c1 4af59fab: add_disk_randomness(8:0) 225fd6c1 4af59fab
[    4.827958] random 0048 0000 0000 225fd6c1 4af59fab: add_timer_randomness(.. 8388864) with jiffies: 16264032717400629180, cycles: -2182711360603812153
[    4.828732] random 0048 0000 0000 225fd6c1 4af59fab: add_disk_randomness(8:0) 225fd6c1 4af59fab
[    4.828737] random 0048 0000 0000 225fd6c1 4af59fab: add_timer_randomness(.. 8388864) with jiffies: 16272053723444731836, cycles: -2174690354559709497
[    4.828817] random 0048 0000 0000 225fd6c1 4af59fab: add_disk_randomness(8:0) 225fd6c1 4af59fab
[    4.828821] random 0048 0000 0000 225fd6c1 4af59fab: add_timer_randomness(.. 8388864) with jiffies: 16272919434232782780, cycles: -2173824643771658553
[    4.828938] random 0048 0000 0000 225fd6c1 4af59fab: add_disk_randomness(8:0) 225fd6c1 4af59fab
[    4.828943] random 0048 0000 0000 225fd6c1 4af59fab: add_timer_randomness(.. 8388864) with jiffies: 16274176841743261628, cycles: -2172567236261179705
[    4.828948] random 0048 0000 0000 225fd6c1 4af59fab: add_disk_randomness(8:0) 225fd6c1 4af59fab
[    4.828952] random 0048 0000 0000 225fd6c1 4af59fab: add_timer_randomness(.. 8388864) with jiffies: 16274273349658402748, cycles: -2172470728346038585
[    4.829244] random 0048 0000 0000 225fd6c1 4af59fab: rand_read_num 268 get_random_bytes(16): sig fffffcc7 225fd6c1 4af59fab
[    4.829247] random 0048 0000 0000 225fd6c1 4af59fab: extract_entropy(.. 16 ..)
[    4.829250] random 0048 0000 0000 225fd6c1 4af59fab: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.829252] random 0048 0000 0000 225fd6c1 4af59fab: extract_entropy(.. 16 ..)
[    4.829255] random 0048 0000 0000 225fd6c1 4af59fab: trying to extract 128 bits from input
[    4.829258] random 0048 0000 0000 225fd6c1 4af59fab: debiting 0 entropy credits from input
[    4.829261] random 0048 0000 0000 225fd6c1 4af59fab: extract_entropy account returned: 0 
[    4.829265] random 0048 0000 0000 225fd6c1 4af59fab: urand_change_num 812 xfer_secondary_pool(16): pool_sig fffffcc7, data_sig 00000000, bytes_mixed 0 225fd6c1 4af59fab
[    4.829268] random 0048 0000 0000 225fd6c1 4af59fab: trying to extract 128 bits from nonblocking
[    4.829271] random 0048 0000 0000 225fd6c1 4af59fab: debiting 128 entropy credits from nonblocking (unlimited)
[    4.829273] random 0048 0000 0000 225fd6c1 4af59fab: extract_entropy account returned: 16 
[    4.829277] random 0048 0000 0000 225fd6c1 4af59fab: urand_change_num 813 extract_buf: pool_sig fffffcc7, data_sig ffffff8d, bytes_mixed 20 225fd6c1 4af59fab
[    4.829282] random 0048 0000 0000 225fd6c1 4af59fab: urand_change_num 814 extract_buf: pool_sig fffff842, data_sig 00000050, bytes_mixed 20 225fd6c1 4af59fab
[    4.829638] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.829641] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16281374914873581500, cycles: -2165369163130859833
[    4.829987] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.829991] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16284978126146953148, cycles: -2161765951857488185
[    4.830207] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.830211] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16287245589706366909, cycles: -2159498488298074425
[    4.830340] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.830344] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16288609044254351293, cycles: -2158135033750090041
[    4.830644] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.830648] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16291741960903778237, cycles: -2155002117100663097
[    4.830652] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.830656] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16291825893154676669, cycles: -2154918184849764665
[    4.830943] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.830947] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16294822268498796477, cycles: -2151921809505644857
[    4.831467] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.831471] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16300216652933291965, cycles: -2146527425071149369
[    4.831856] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.831860] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16304230557569441725, cycles: -2142513520434999609
[    4.831920] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.831924] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16304883783440457661, cycles: -2141860294563983673
[    4.832028] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.832031] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16305995106228297661, cycles: -2140748971776143673
[    4.832083] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.832086] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16306559078383935421, cycles: -2140184999620505913
[    4.832138] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.832141] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16307123540165844925, cycles: -2139620537838596409
[    4.832218] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.832221] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16307949488146669501, cycles: -2138794589857771833
[    4.832279] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.832282] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16308577008638418877, cycles: -2138167069366022457
[    4.832333] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.832336] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16309135723754086333, cycles: -2137608354250355001
[    4.832386] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.832390] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16309683911904911293, cycles: -2137060166099530041
[    4.832450] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.832453] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16310339998224146365, cycles: -2136404079780294969
[    4.832503] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.832507] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16310889217167122365, cycles: -2135854860837318969
[    4.832556] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.832559] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16311434003703848893, cycles: -2135310074300592441
[    4.832612] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.832616] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16312014404109393853, cycles: -2134729673895047481
[    4.832665] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.832669] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16312558069659656125, cycles: -2134186008344785209
[    4.832719] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.832723] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16313117132667674557, cycles: -2133626945336766777
[    4.832772] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.832775] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16313658723748732861, cycles: -2133085354255708473
[    4.832825] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.832828] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16314200005592145853, cycles: -2132544072412295481
[    4.832877] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.832881] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16314742807853981629, cycles: -2132001270150459705
[    4.832930] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.832933] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16315286009547775933, cycles: -2131458068456665401
[    4.832982] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.832986] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16315826015785902013, cycles: -2130918062218539321
[    4.833035] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.833038] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16316366253952262077, cycles: -2130377824052179257
[    4.833087] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.833091] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16316906749816659901, cycles: -2129837328187781433
[    4.833140] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.833143] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16317444952168521661, cycles: -2129299125835919673
[    4.833192] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.833195] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16317984546089787325, cycles: -2128759531914654009
[    4.833245] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.833248] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16318526716991430589, cycles: -2128217361013010745
[    4.833297] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.833301] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16319066620150341565, cycles: -2127677457854099769
[    4.834026] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.834029] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16326572333198139326, cycles: -2120171744806302009
[    4.834095] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.834099] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16327285499632738238, cycles: -2119458578371703097
[    4.834158] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.834161] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16327931123411640254, cycles: -2118812954592801081
[    4.834213] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.834217] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16328501589557829566, cycles: -2118242488446611769
[    4.834268] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.834272] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16329069633342463934, cycles: -2117674444661977401
[    4.834323] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.834327] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16329636517485928382, cycles: -2117107560518512953
[    4.834379] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.834383] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16330212008743854014, cycles: -2116532069260587321
[    4.834434] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.834438] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16330779627326726078, cycles: -2115964450677715257
[    4.834490] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.834493] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16331351807164866494, cycles: -2115392270839574841
[    4.834563] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.834567] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16332109903252348862, cycles: -2114634174752092473
[    4.834618] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.834622] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16332676439503462334, cycles: -2114067638500979001
[    4.834673] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.834676] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16333238633542639550, cycles: -2113505444461801785
[    4.834732] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.834736] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16333849545395855294, cycles: -2112894532608586041
[    4.834787] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.834791] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16334416983590100926, cycles: -2112327094414340409
[    4.834844] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.834848] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16335001455624642494, cycles: -2111742622379798841
[    4.834899] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.834903] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16335569989035548606, cycles: -2111174088968892729
[    4.834955] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.834959] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16336147477453266878, cycles: -2110596600551174457
[    4.835011] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.835015] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16336724566439026622, cycles: -2110019511565414713
[    4.835067] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.835070] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16337296772046970814, cycles: -2109447305957470521
[    4.835122] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.835125] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16337863230988672958, cycles: -2108880847015768377
[    4.835177] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
[    4.835180] random 0048 0000 0000 031e24fc 879d3098: add_timer_randomness(.. 8388864) with jiffies: 16338428736447635390, cycles: -2108315341556805945
[    4.835232] random 0048 0000 0000 031e24fc 879d3098: add_disk_randomness(8:0) 031e24fc 879d3098
