
<7>[    3.589317] random 0030 0000 0000 9bdad8b7 f39b4c75: add_timer_randomness(.. 8388864) with jiffies: 6305966547009461895, cycles: 6305966542714571213
[    4.540464] random 0043 0000 0000 87aa281f b556f391: extract_entropy account returned: 16 
[    4.540468] random 0043 0000 0000 87aa281f b556f391: urand_change_num 765 extract_buf: pool_sig fffffd0c, data_sig 000002aa, bytes_mixed 20 87aa281f b556f391
[    4.540472] random 0043 0000 0000 87aa281f b556f391: urand_change_num 766 extract_buf: pool_sig fffffe21, data_sig 00000149, bytes_mixed 20 87aa281f b556f391
[    4.545471] random 0043 0000 0000 5f3d79f2 658bf12b: rand_read_num 253 get_random_bytes(16): sig 000004b2 5f3d79f2 658bf12b
[    4.545475] random 0043 0000 0000 5f3d79f2 658bf12b: extract_entropy(.. 16 ..)
[    4.545478] random 0043 0000 0000 5f3d79f2 658bf12b: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.545481] random 0043 0000 0000 5f3d79f2 658bf12b: extract_entropy(.. 16 ..)
[    4.545483] random 0043 0000 0000 5f3d79f2 658bf12b: trying to extract 128 bits from input
[    4.545486] random 0043 0000 0000 5f3d79f2 658bf12b: debiting 0 entropy credits from input
[    4.545488] random 0043 0000 0000 5f3d79f2 658bf12b: extract_entropy account returned: 0 
[    4.545491] random 0043 0000 0000 5f3d79f2 658bf12b: urand_change_num 767 xfer_secondary_pool(16): pool_sig 000004b2, data_sig 00000000, bytes_mixed 0 5f3d79f2 658bf12b
[    4.545494] random 0043 0000 0000 5f3d79f2 658bf12b: trying to extract 128 bits from nonblocking
[    4.545497] random 0043 0000 0000 5f3d79f2 658bf12b: debiting 128 entropy credits from nonblocking (unlimited)
[    4.545499] random 0043 0000 0000 5f3d79f2 658bf12b: extract_entropy account returned: 16 
[    4.545503] random 0043 0000 0000 5f3d79f2 658bf12b: urand_change_num 768 extract_buf: pool_sig 000004b2, data_sig 00000044, bytes_mixed 20 5f3d79f2 658bf12b
[    4.545507] random 0043 0000 0000 5f3d79f2 658bf12b: urand_change_num 769 extract_buf: pool_sig fffffea2, data_sig 000000c5, bytes_mixed 20 5f3d79f2 658bf12b
[    4.546263] random 0043 0000 0000 66241dce 2ade4d86: add_disk_randomness(8:0) 66241dce 2ade4d86
[    4.546267] random 0043 0000 0000 66241dce 2ade4d86: add_timer_randomness(.. 8388864) with jiffies: 16162424983862042487, cycles: -2284319094142400051
[    4.546390] random 0043 0000 0000 66241dce 2ade4d86: add_disk_randomness(8:0) 66241dce 2ade4d86
[    4.546394] random 0043 0000 0000 66241dce 2ade4d86: add_timer_randomness(.. 8388864) with jiffies: 16163730482121334647, cycles: -2283013595883107891
[    4.550322] random 0043 0000 0000 66241dce 2ade4d86: add_disk_randomness(8:0) 66241dce 2ade4d86
[    4.550327] random 0043 0000 0000 66241dce 2ade4d86: add_timer_randomness(.. 8388864) with jiffies: 16204242292989419384, cycles: -2242501785015023155
[    4.550645] random 0043 0000 0000 66241dce 2ade4d86: rand_read_num 254 get_random_bytes(16): sig ffffffab 66241dce 2ade4d86
[    4.550648] random 0043 0000 0000 66241dce 2ade4d86: extract_entropy(.. 16 ..)
[    4.550651] random 0043 0000 0000 66241dce 2ade4d86: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.550653] random 0043 0000 0000 66241dce 2ade4d86: extract_entropy(.. 16 ..)
[    4.550655] random 0043 0000 0000 66241dce 2ade4d86: trying to extract 128 bits from input
[    4.550658] random 0043 0000 0000 66241dce 2ade4d86: debiting 0 entropy credits from input
[    4.550660] random 0043 0000 0000 66241dce 2ade4d86: extract_entropy account returned: 0 
[    4.550663] random 0043 0000 0000 66241dce 2ade4d86: urand_change_num 770 xfer_secondary_pool(16): pool_sig ffffffab, data_sig 00000000, bytes_mixed 0 66241dce 2ade4d86
[    4.550666] random 0043 0000 0000 66241dce 2ade4d86: trying to extract 128 bits from nonblocking
[    4.550668] random 0043 0000 0000 66241dce 2ade4d86: debiting 128 entropy credits from nonblocking (unlimited)
[    4.550671] random 0043 0000 0000 66241dce 2ade4d86: extract_entropy account returned: 16 
[    4.550674] random 0043 0000 0000 66241dce 2ade4d86: urand_change_num 771 extract_buf: pool_sig ffffffab, data_sig 000000c9, bytes_mixed 20 66241dce 2ade4d86
[    4.550679] random 0043 0000 0000 d38d131a 9547f191: urand_change_num 772 extract_buf: pool_sig ffffff4d, data_sig 000000b6, bytes_mixed 20 d38d131a 9547f191
[    4.551444] random 0043 0000 0000 d38d131a 9547f191: add_disk_randomness(8:0) d38d131a 9547f191
[    4.551448] random 0043 0000 0000 d38d131a 9547f191: add_timer_randomness(.. 8388864) with jiffies: 16215789097816350584, cycles: -2230954980188091955
[    4.551943] random 0043 0000 0000 d38d131a 9547f191: add_disk_randomness(8:0) d38d131a 9547f191
[    4.551947] random 0043 0000 0000 d38d131a 9547f191: add_timer_randomness(.. 8388864) with jiffies: 16220932686225530744, cycles: -2225811391778911795
[    4.551993] random 0043 0000 0000 d38d131a 9547f191: rand_read_num 255 get_random_bytes(16): sig ffffff8a d38d131a 9547f191
[    4.551996] random 0043 0000 0000 d38d131a 9547f191: extract_entropy(.. 16 ..)
[    4.551998] random 0043 0000 0000 d38d131a 9547f191: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.552001] random 0043 0000 0000 d38d131a 9547f191: extract_entropy(.. 16 ..)
[    4.552003] random 0043 0000 0000 d38d131a 9547f191: trying to extract 128 bits from input
[    4.552005] random 0043 0000 0000 d38d131a 9547f191: debiting 0 entropy credits from input
[    4.552007] random 0043 0000 0000 d38d131a 9547f191: extract_entropy account returned: 0 
[    4.552011] random 0043 0000 0000 d38d131a 9547f191: urand_change_num 773 xfer_secondary_pool(16): pool_sig ffffff8a, data_sig 00000000, bytes_mixed 0 d38d131a 9547f191
[    4.552013] random 0043 0000 0000 d38d131a 9547f191: trying to extract 128 bits from nonblocking
[    4.552016] random 0043 0000 0000 d38d131a 9547f191: debiting 128 entropy credits from nonblocking (unlimited)
[    4.552018] random 0043 0000 0000 d38d131a 9547f191: extract_entropy account returned: 16 
[    4.552022] random 0043 0000 0000 d38d131a 9547f191: urand_change_num 774 extract_buf: pool_sig ffffff8a, data_sig fffffe50, bytes_mixed 20 d38d131a 9547f191
[    4.552026] random 0043 0000 0000 1b3ef689 e6b6ca19: urand_change_num 775 extract_buf: pool_sig 000003e4, data_sig ffffffd8, bytes_mixed 20 1b3ef689 e6b6ca19
[    4.553298] RANDOM get_random_int call with cycles 10779852913599, jiffies 4294893432 and pid 1
[    4.553394] random 0043 0000 0000 f7440c8c 44ed6e6b: add_disk_randomness(8:0) f7440c8c 44ed6e6b
[    4.553398] random 0043 0000 0000 f7440c8c 44ed6e6b: add_timer_randomness(.. 8388864) with jiffies: 16235876853133270904, cycles: -2210867224871171635
[    4.554092] random 0043 0000 0000 f7440c8c 44ed6e6b: add_disk_randomness(8:0) f7440c8c 44ed6e6b
[    4.554097] random 0043 0000 0000 f7440c8c 44ed6e6b: add_timer_randomness(.. 8388864) with jiffies: 16243070068655579000, cycles: -2203674009348863539
[    4.554242] random 0043 0000 0000 f7440c8c 44ed6e6b: add_disk_randomness(8:0) f7440c8c 44ed6e6b
[    4.554246] random 0043 0000 0000 f7440c8c 44ed6e6b: add_timer_randomness(.. 8388864) with jiffies: 16244607147256504185, cycles: -2202136930747938355
[    4.555215] random 0043 0000 0000 f7440c8c 44ed6e6b: add_disk_randomness(8:0) f7440c8c 44ed6e6b
[    4.555219] random 0043 0000 0000 f7440c8c 44ed6e6b: add_timer_randomness(.. 8388864) with jiffies: 16254627683915194233, cycles: -2192116394089248307
[    4.555719] random 0043 0000 0000 f7440c8c 44ed6e6b: add_disk_randomness(8:0) f7440c8c 44ed6e6b
[    4.555723] random 0043 0000 0000 f7440c8c 44ed6e6b: add_timer_randomness(.. 8388864) with jiffies: 16259827476266409849, cycles: -2186916601738032691
[    4.556154] random 0043 0000 0000 f7440c8c 44ed6e6b: add_disk_randomness(8:0) f7440c8c 44ed6e6b
[    4.556158] random 0043 0000 0000 f7440c8c 44ed6e6b: add_timer_randomness(.. 8388864) with jiffies: 16264303343289950073, cycles: -2182440734714492467
[    4.556666] random 0043 0000 0000 f7440c8c 44ed6e6b: add_disk_randomness(8:0) f7440c8c 44ed6e6b
[    4.556670] random 0043 0000 0000 f7440c8c 44ed6e6b: add_timer_randomness(.. 8388864) with jiffies: 16269574981854093177, cycles: -2177169096150349363
[    4.556961] random 0043 0000 0000 f7440c8c 44ed6e6b: add_disk_randomness(8:0) f7440c8c 44ed6e6b
[    4.556965] random 0043 0000 0000 f7440c8c 44ed6e6b: add_timer_randomness(.. 8388864) with jiffies: 16272617802974551929, cycles: -2174126275029890611
[    4.557147] random 0043 0000 0000 f7440c8c 44ed6e6b: add_disk_randomness(8:0) f7440c8c 44ed6e6b
[    4.557151] random 0043 0000 0000 f7440c8c 44ed6e6b: add_timer_randomness(.. 8388864) with jiffies: 16274531880919818105, cycles: -2172212197084624435
[    4.557218] random 0043 0000 0000 f7440c8c 44ed6e6b: add_disk_randomness(8:0) f7440c8c 44ed6e6b
[    4.557223] random 0043 0000 0000 f7440c8c 44ed6e6b: add_timer_randomness(.. 8388864) with jiffies: 16275272968936808313, cycles: -2171471109067634227
[    4.557286] random 0043 0000 0000 f7440c8c 44ed6e6b: rand_read_num 256 get_random_bytes(16): sig 00000448 f7440c8c 44ed6e6b
[    4.557288] random 0043 0000 0000 f7440c8c 44ed6e6b: extract_entropy(.. 16 ..)
[    4.557292] random 0043 0000 0000 f7440c8c 44ed6e6b: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.557294] random 0043 0000 0000 f7440c8c 44ed6e6b: extract_entropy(.. 16 ..)
[    4.557296] random 0043 0000 0000 f7440c8c 44ed6e6b: trying to extract 128 bits from input
[    4.557299] random 0043 0000 0000 f7440c8c 44ed6e6b: debiting 0 entropy credits from input
[    4.557301] random 0043 0000 0000 f7440c8c 44ed6e6b: extract_entropy account returned: 0 
[    4.557304] random 0043 0000 0000 f7440c8c 44ed6e6b: urand_change_num 776 xfer_secondary_pool(16): pool_sig 00000448, data_sig 00000000, bytes_mixed 0 f7440c8c 44ed6e6b
[    4.557307] random 0043 0000 0000 f7440c8c 44ed6e6b: trying to extract 128 bits from nonblocking
[    4.557309] random 0043 0000 0000 f7440c8c 44ed6e6b: debiting 128 entropy credits from nonblocking (unlimited)
[    4.557312] random 0043 0000 0000 f7440c8c 44ed6e6b: extract_entropy account returned: 16 
[    4.557316] random 0043 0000 0000 f7440c8c 44ed6e6b: urand_change_num 777 extract_buf: pool_sig 00000448, data_sig 000000bb, bytes_mixed 20 f7440c8c 44ed6e6b
[    4.557321] random 0043 0000 0000 f7440c8c 44ed6e6b: urand_change_num 778 extract_buf: pool_sig fffffbbe, data_sig 0000021a, bytes_mixed 20 f7440c8c 44ed6e6b
[    4.557445] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.557448] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16277594519019380601, cycles: -2169149558985061939
[    4.557515] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.557519] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16278318702045093753, cycles: -2168425375959348787
[    4.557577] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.557581] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16278963230607335289, cycles: -2167780847397107251
[    4.557955] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.557959] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16282854264819081081, cycles: -2163889813185361459
[    4.558025] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.558029] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16283578576693813113, cycles: -2163165501310629427
[    4.558092] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.558095] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16284260110694276985, cycles: -2162483967310165555
[    4.558162] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.558166] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16284986046066646905, cycles: -2161758031937795635
[    4.558227] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.558231] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16285655880576196474, cycles: -2161088197428246067
[    4.558295] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.558301] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16286368196607270778, cycles: -2160375881397171763
[    4.558362] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.558365] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16287042257364639610, cycles: -2159701820639802931
[    4.558429] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.558432] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16287732282515447674, cycles: -2159011795488994867
[    4.558488] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.558491] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16288339741214957434, cycles: -2158404336789485107
[    4.558547] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.558551] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16288949557851512698, cycles: -2157794520152929843
[    4.558606] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.558609] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16289554723038486394, cycles: -2157189354965956147
[    4.558668] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.558671] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16290191262961557370, cycles: -2156552815042885171
[    4.558727] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.558731] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16290805215651618682, cycles: -2155938862352823859
[    4.558790] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.558794] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16291456276859117434, cycles: -2155287801145325107
[    4.558851] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.558855] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16292080279772651386, cycles: -2154663798231791155
[    4.558910] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.558914] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16292688382717255546, cycles: -2154055695287186995
[    4.558969] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.558972] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16293291988831100794, cycles: -2153452089173341747
[    4.559027] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.559031] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16293896625737097082, cycles: -2152847452267345459
[    4.559086] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.559089] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16294499742224670586, cycles: -2152244335779771955
[    4.559154] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.559158] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16295200332995026810, cycles: -2151543745009415731
[    4.559214] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.559218] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16295823691663466362, cycles: -2150920386340976179
[    4.559274] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.559278] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16296436536251965306, cycles: -2150307541752477235
[    4.559333] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.559337] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16297044819585195898, cycles: -2149699258419246643
[    4.559392] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.559395] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16297649366296878970, cycles: -2149094711707563571
[    4.560168] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.560172] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16305642979039567738, cycles: -2141101098964874803
[    4.562298] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.562302] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16327584373521964923, cycles: -2119159704482477619
[    4.562365] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.562369] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16328275197536690043, cycles: -2118468880467752499
[    4.562428] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.562431] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16328919507055599483, cycles: -2117824570948843059
[    4.562493] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.562497] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16329596247872561019, cycles: -2117147830131881523
[    4.562562] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.562566] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16330302366265827195, cycles: -2116441711738615347
[    4.562623] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.562627] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16330937205381848955, cycles: -2115806872622593587
[    4.562685] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.562690] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16331577262883135355, cycles: -2115166815121307187
[    4.562751] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.562755] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16332251967885598587, cycles: -2114492110118843955
[    4.562815] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.562820] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16332917473068113787, cycles: -2113826604936328755
[    4.562893] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.562896] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16333710938211278715, cycles: -2113033139793163827
[    4.562955] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.562959] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16334354448866271099, cycles: -2112389629138171443
[    4.563022] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.563026] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16335041007978471291, cycles: -2111703070025971251
[    4.563085] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.563089] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16335695303296343931, cycles: -2111048774708098611
[    4.563147] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.563151] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16336333582681169787, cycles: -2110410495323272755
[    4.563211] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.563215] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16336992555218427771, cycles: -2109751522786014771
[    4.563276] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.563279] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16337653872807829371, cycles: -2109090205196613171
[    4.563337] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.563342] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16338294188007153531, cycles: -2108449889997289011
[    4.564435] random 0043 0000 0000 f381bcdc ee8dbc52: add_disk_randomness(8:0) f381bcdc ee8dbc52
[    4.564439] random 0043 0000 0000 f381bcdc ee8dbc52: add_timer_randomness(.. 8388864) with jiffies: 16349596153928408955, cycles: -2097147924076033587
[    4.564513] random 0043 0000 0000 f381bcdc ee8dbc52: rand_read_num 257 get_random_bytes(16): sig fffffe8a f381bcdc ee8dbc52
[    4.564516] random 0043 0000 0000 f381bcdc ee8dbc52: extract_entropy(.. 16 ..)
[    4.564519] random 0043 0000 0000 f381bcdc ee8dbc52: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.564521] random 0043 0000 0000 f381bcdc ee8dbc52: extract_entropy(.. 16 ..)
[    4.564523] random 0043 0000 0000 f381bcdc ee8dbc52: trying to extract 128 bits from input
[    4.564526] random 0043 0000 0000 f381bcdc ee8dbc52: debiting 0 entropy credits from input
[    4.564528] random 0043 0000 0000 f381bcdc ee8dbc52: extract_entropy account returned: 0 
[    4.564531] random 0043 0000 0000 f381bcdc ee8dbc52: urand_change_num 779 xfer_secondary_pool(16): pool_sig fffffe8a, data_sig 00000000, bytes_mixed 0 f381bcdc ee8dbc52
[    4.564534] random 0043 0000 0000 f381bcdc ee8dbc52: trying to extract 128 bits from nonblocking
[    4.564536] random 0043 0000 0000 f381bcdc ee8dbc52: debiting 128 entropy credits from nonblocking (unlimited)
[    4.564539] random 0043 0000 0000 f381bcdc ee8dbc52: extract_entropy account returned: 16 
[    4.564542] random 0043 0000 0000 f381bcdc ee8dbc52: urand_change_num 780 extract_buf: pool_sig fffffe8a, data_sig 00000185, bytes_mixed 20 f381bcdc ee8dbc52
[    4.564547] random 0043 0000 0000 f381bcdc ee8dbc52: urand_change_num 781 extract_buf: pool_sig 000000dc, data_sig fffffce6, bytes_mixed 20 f381bcdc ee8dbc52
[    4.565517] random 0043 0000 0000 b603583b b54947e0: add_disk_randomness(8:0) b603583b b54947e0
[    4.565523] random 0043 0000 0000 b603583b b54947e0: add_timer_randomness(.. 8388864) with jiffies: 16360748448829333371, cycles: -2085995629175109171
[    4.565656] random 0043 0000 0000 b603583b b54947e0: add_disk_randomness(8:0) b603583b b54947e0
[    4.565660] random 0043 0000 0000 b603583b b54947e0: add_timer_randomness(.. 8388864) with jiffies: 16362175026511667067, cycles: -2084569051492775475
[    4.565853] random 0043 0000 0000 b603583b b54947e0: add_disk_randomness(8:0) b603583b b54947e0
[    4.565857] random 0043 0000 0000 b603583b b54947e0: add_timer_randomness(.. 8388864) with jiffies: 16364207568244891515, cycles: -2082536509759551027
[    4.565866] random 0043 0000 0000 b603583b b54947e0: add_disk_randomness(8:0) b603583b b54947e0
[    4.565869] random 0043 0000 0000 b603583b b54947e0: add_timer_randomness(.. 8388864) with jiffies: 16364331070029487995, cycles: -2082413007974954547
[    4.566229] random 0043 0000 0000 b603583b b54947e0: add_disk_randomness(8:0) b603583b b54947e0
[    4.566233] random 0043 0000 0000 b603583b b54947e0: add_timer_randomness(.. 8388864) with jiffies: 16368070599269867388, cycles: -2078673478734575155
[    4.566279] random 0043 0000 0000 b603583b b54947e0: add_disk_randomness(8:0) b603583b b54947e0
[    4.566283] random 0043 0000 0000 b603583b b54947e0: add_timer_randomness(.. 8388864) with jiffies: 16368592734149074812, cycles: -2078151343855367731
[    4.566333] random 0043 0000 0000 b603583b b54947e0: add_disk_randomness(8:0) b603583b b54947e0
[    4.566336] random 0043 0000 0000 b603583b b54947e0: add_timer_randomness(.. 8388864) with jiffies: 16369141321731858300, cycles: -2077602756272584243
[    4.566341] random 0043 0000 0000 b603583b b54947e0: add_disk_randomness(8:0) b603583b b54947e0
[    4.566344] random 0043 0000 0000 b603583b b54947e0: add_timer_randomness(.. 8388864) with jiffies: 16369224931860209532, cycles: -2077519146144233011
[    4.566351] random 0043 0000 0000 b603583b b54947e0: add_disk_randomness(8:0) b603583b b54947e0
[    4.566354] random 0043 0000 0000 b603583b b54947e0: add_timer_randomness(.. 8388864) with jiffies: 16369327804916883324, cycles: -2077416273087559219
[    4.566359] random 0043 0000 0000 b603583b b54947e0: add_disk_randomness(8:0) b603583b b54947e0
[    4.566362] random 0043 0000 0000 b603583b b54947e0: add_timer_randomness(.. 8388864) with jiffies: 16369410306943672188, cycles: -2077333771060770355
[    4.567204] random 0043 0000 0000 b603583b b54947e0: add_disk_randomness(8:0) b603583b b54947e0
[    4.567209] random 0043 0000 0000 b603583b b54947e0: add_timer_randomness(.. 8388864) with jiffies: 16378124275896213372, cycles: -2068619802108229171
[    4.567490] random 0043 0000 0000 b603583b b54947e0: add_disk_randomness(8:0) b603583b b54947e0
[    4.567502] random 0043 0000 0000 b603583b b54947e0: add_timer_randomness(.. 8388864) with jiffies: 16381069442345262972, cycles: -2065674635659179571
