>[    3.955571] random 0034 0000 0000 cb172a87 fec132c2: add_timer_randomness(.. 8388864) with jiffies: 4631853715970514659, cycles: 4631853711675625554
[    4.713029] random 0047 0000 0000 f73bfb50 12a893f8: add_timer_randomness(.. 8388864) with jiffies: 12433604664614641568, cycles: -6013139413389799342
[    4.713081] random 0047 0000 0000 f73bfb50 12a893f8: add_disk_randomness(8:0) f73bfb50 12a893f8
[    4.713085] random 0047 0000 0000 f73bfb50 12a893f8: add_timer_randomness(.. 8388864) with jiffies: 12434180890311974816, cycles: -6012563187692466094
[    4.713137] random 0047 0000 0000 f73bfb50 12a893f8: add_disk_randomness(8:0) f73bfb50 12a893f8
[    4.713141] random 0047 0000 0000 f73bfb50 12a893f8: add_timer_randomness(.. 8388864) with jiffies: 12434759357982236576, cycles: -6011984720022204334
[    4.713193] random 0047 0000 0000 f73bfb50 12a893f8: add_disk_randomness(8:0) f73bfb50 12a893f8
[    4.713197] random 0047 0000 0000 f73bfb50 12a893f8: add_timer_randomness(.. 8388864) with jiffies: 12435333560749973408, cycles: -6011410517254467502
[    4.713247] random 0047 0000 0000 f73bfb50 12a893f8: add_disk_randomness(8:0) f73bfb50 12a893f8
[    4.713250] random 0047 0000 0000 f73bfb50 12a893f8: add_timer_randomness(.. 8388864) with jiffies: 12435882972966477728, cycles: -6010861105037963182
[    4.713299] random 0047 0000 0000 f73bfb50 12a893f8: add_disk_randomness(8:0) f73bfb50 12a893f8
[    4.713303] random 0047 0000 0000 f73bfb50 12a893f8: add_timer_randomness(.. 8388864) with jiffies: 12436428313553985440, cycles: -6010315764450455470
[    4.713343] random 0047 0000 0000 f73bfb50 12a893f8: add_disk_randomness(8:0) f73bfb50 12a893f8
[    4.713346] random 0047 0000 0000 f73bfb50 12a893f8: add_timer_randomness(.. 8388864) with jiffies: 12436872778244612001, cycles: -6009871299759828910
[    4.713413] random 0047 0000 0000 f73bfb50 12a893f8: add_disk_randomness(8:0) f73bfb50 12a893f8
[    4.713416] random 0047 0000 0000 f73bfb50 12a893f8: add_timer_randomness(.. 8388864) with jiffies: 12437595556816019361, cycles: -6009148521188421550
[    4.713467] random 0047 0000 0000 f73bfb50 12a893f8: add_disk_randomness(8:0) f73bfb50 12a893f8
[    4.713471] random 0047 0000 0000 f73bfb50 12a893f8: add_timer_randomness(.. 8388864) with jiffies: 12438157428732649377, cycles: -6008586649271791534
[    4.713520] random 0047 0000 0000 f73bfb50 12a893f8: add_disk_randomness(8:0) f73bfb50 12a893f8
[    4.713524] random 0047 0000 0000 f73bfb50 12a893f8: add_timer_randomness(.. 8388864) with jiffies: 12438703130097409953, cycles: -6008040947907030958
[    4.713574] random 0047 0000 0000 f73bfb50 12a893f8: add_disk_randomness(8:0) f73bfb50 12a893f8
[    4.713577] random 0047 0000 0000 f73bfb50 12a893f8: add_timer_randomness(.. 8388864) with jiffies: 12439254900250959777, cycles: -6007489177753481134
[    4.713627] random 0047 0000 0000 f73bfb50 12a893f8: add_disk_randomness(8:0) f73bfb50 12a893f8
[    4.713630] random 0047 0000 0000 f73bfb50 12a893f8: add_timer_randomness(.. 8388864) with jiffies: 12439799326010433441, cycles: -6006944751994007470
[    4.713679] random 0047 0000 0000 f73bfb50 12a893f8: add_disk_randomness(8:0) f73bfb50 12a893f8
[    4.713692] random 0047 0000 0000 f73bfb50 12a893f8: add_timer_randomness(.. 8388864) with jiffies: 12440426356875911073, cycles: -6006317721128529838
[    4.713742] random 0047 0000 0000 f73bfb50 12a893f8: add_disk_randomness(8:0) f73bfb50 12a893f8
[    4.713746] random 0047 0000 0000 f73bfb50 12a893f8: add_timer_randomness(.. 8388864) with jiffies: 12440991411363307425, cycles: -6005752666641133486
[    4.717443] random 0047 0000 0000 f73bfb50 12a893f8: add_disk_randomness(8:0) f73bfb50 12a893f8
[    4.717448] random 0047 0000 0000 f73bfb50 12a893f8: add_timer_randomness(.. 8388864) with jiffies: 12479115559717232546, cycles: -5967628518287208366
[    4.717511] random 0047 0000 0000 f73bfb50 12a893f8: add_disk_randomness(8:0) f73bfb50 12a893f8
[    4.717515] random 0047 0000 0000 f73bfb50 12a893f8: add_timer_randomness(.. 8388864) with jiffies: 12479811615002124194, cycles: -5966932463002316718
[    4.717572] random 0047 0000 0000 f73bfb50 12a893f8: add_disk_randomness(8:0) f73bfb50 12a893f8
[    4.717576] random 0047 0000 0000 f73bfb50 12a893f8: add_timer_randomness(.. 8388864) with jiffies: 12480438465478975394, cycles: -5966305612525465518
[    4.717630] random 0047 0000 0000 f73bfb50 12a893f8: rand_read_num 274 get_random_bytes(16): sig 000007d6 f73bfb50 12a893f8
[    4.717633] random 0047 0000 0000 f73bfb50 12a893f8: extract_entropy(.. 16 ..)
[    4.717636] random 0047 0000 0000 f73bfb50 12a893f8: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.717638] random 0047 0000 0000 f73bfb50 12a893f8: extract_entropy(.. 16 ..)
[    4.717641] random 0047 0000 0000 f73bfb50 12a893f8: trying to extract 128 bits from input
[    4.717643] random 0047 0000 0000 f73bfb50 12a893f8: debiting 0 entropy credits from input
[    4.717646] random 0047 0000 0000 f73bfb50 12a893f8: extract_entropy account returned: 0 
[    4.717649] random 0047 0000 0000 f73bfb50 12a893f8: urand_change_num 830 xfer_secondary_pool(16): pool_sig 000007d6, data_sig 00000000, bytes_mixed 0 f73bfb50 12a893f8
[    4.717652] random 0047 0000 0000 f73bfb50 12a893f8: trying to extract 128 bits from nonblocking
[    4.717654] random 0047 0000 0000 f73bfb50 12a893f8: debiting 128 entropy credits from nonblocking (unlimited)
[    4.717657] random 0047 0000 0000 f73bfb50 12a893f8: extract_entropy account returned: 16 
[    4.717660] random 0047 0000 0000 f73bfb50 12a893f8: urand_change_num 831 extract_buf: pool_sig 000007d6, data_sig 000000af, bytes_mixed 20 f73bfb50 12a893f8
[    4.717665] random 0047 0000 0000 550565d1 1d836839: urand_change_num 832 extract_buf: pool_sig 00000737, data_sig ffffffb0, bytes_mixed 20 550565d1 1d836839
[    4.718239] random 0047 0000 0000 550565d1 1d836839: add_disk_randomness(8:0) 550565d1 1d836839
[    4.718243] random 0047 0000 0000 550565d1 1d836839: add_timer_randomness(.. 8388864) with jiffies: 12487308179769581474, cycles: -5959435898234859438
[    4.718318] random 0047 0000 0000 550565d1 1d836839: add_disk_randomness(8:0) 550565d1 1d836839
[    4.718324] random 0047 0000 0000 550565d1 1d836839: add_timer_randomness(.. 8388864) with jiffies: 12488130326704349090, cycles: -5958613751300091822
[    4.718409] random 0047 0000 0000 550565d1 1d836839: add_disk_randomness(8:0) 550565d1 1d836839
[    4.718414] random 0047 0000 0000 550565d1 1d836839: add_timer_randomness(.. 8388864) with jiffies: 12489062884363394978, cycles: -5957681193641045934
[    4.718483] random 0047 0000 0000 550565d1 1d836839: add_disk_randomness(8:0) 550565d1 1d836839
[    4.718486] random 0047 0000 0000 550565d1 1d836839: add_timer_randomness(.. 8388864) with jiffies: 12489815246669537186, cycles: -5956928831334903726
[    4.718541] random 0047 0000 0000 550565d1 1d836839: add_disk_randomness(8:0) 550565d1 1d836839
[    4.718545] random 0047 0000 0000 550565d1 1d836839: add_timer_randomness(.. 8388864) with jiffies: 12490417538523389858, cycles: -5956326539481051054
[    4.718598] random 0047 0000 0000 550565d1 1d836839: add_disk_randomness(8:0) 550565d1 1d836839
[    4.718602] random 0047 0000 0000 550565d1 1d836839: add_timer_randomness(.. 8388864) with jiffies: 12491005141589090210, cycles: -5955738936415350702
[    4.718658] random 0047 0000 0000 550565d1 1d836839: add_disk_randomness(8:0) 550565d1 1d836839
[    4.718661] random 0047 0000 0000 550565d1 1d836839: add_timer_randomness(.. 8388864) with jiffies: 12491616285370539938, cycles: -5955127792633900974
[    4.718714] random 0047 0000 0000 550565d1 1d836839: add_disk_randomness(8:0) 550565d1 1d836839
[    4.718718] random 0047 0000 0000 550565d1 1d836839: add_timer_randomness(.. 8388864) with jiffies: 12492197922726666146, cycles: -5954546155277774766
[    4.718771] random 0047 0000 0000 550565d1 1d836839: add_disk_randomness(8:0) 550565d1 1d836839
[    4.718774] random 0047 0000 0000 550565d1 1d836839: add_timer_randomness(.. 8388864) with jiffies: 12492781647436898210, cycles: -5953962430567542702
[    4.718827] random 0047 0000 0000 550565d1 1d836839: add_disk_randomness(8:0) 550565d1 1d836839
[    4.718831] random 0047 0000 0000 550565d1 1d836839: add_timer_randomness(.. 8388864) with jiffies: 12493364908290662306, cycles: -5953379169713778606
[    4.718884] random 0047 0000 0000 550565d1 1d836839: add_disk_randomness(8:0) 550565d1 1d836839
[    4.718888] random 0047 0000 0000 550565d1 1d836839: add_timer_randomness(.. 8388864) with jiffies: 12493950217843826594, cycles: -5952793860160614318
[    4.718941] random 0047 0000 0000 550565d1 1d836839: add_disk_randomness(8:0) 550565d1 1d836839
[    4.718944] random 0047 0000 0000 550565d1 1d836839: add_timer_randomness(.. 8388864) with jiffies: 12494531984048971682, cycles: -5952212093955469230
[    4.719705] RANDOM get_random_int call with cycles 17947284295823, jiffies 4294893474 and pid 1
[    4.720018] random 0047 0000 0000 550565d1 1d836839: rand_read_num 275 get_random_bytes(16): sig ffffff0e 550565d1 1d836839
[    4.720021] random 0047 0000 0000 550565d1 1d836839: extract_entropy(.. 16 ..)
[    4.720024] random 0047 0000 0000 550565d1 1d836839: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.720026] random 0047 0000 0000 550565d1 1d836839: extract_entropy(.. 16 ..)
[    4.720029] random 0047 0000 0000 550565d1 1d836839: trying to extract 128 bits from input
[    4.720031] random 0047 0000 0000 550565d1 1d836839: debiting 0 entropy credits from input
[    4.720033] random 0047 0000 0000 550565d1 1d836839: extract_entropy account returned: 0 
[    4.720037] random 0047 0000 0000 550565d1 1d836839: urand_change_num 833 xfer_secondary_pool(16): pool_sig ffffff0e, data_sig 00000000, bytes_mixed 0 550565d1 1d836839
[    4.720040] random 0047 0000 0000 550565d1 1d836839: trying to extract 128 bits from nonblocking
[    4.720042] random 0047 0000 0000 550565d1 1d836839: debiting 128 entropy credits from nonblocking (unlimited)
[    4.720045] random 0047 0000 0000 550565d1 1d836839: extract_entropy account returned: 16 
[    4.720048] random 0047 0000 0000 550565d1 1d836839: urand_change_num 834 extract_buf: pool_sig ffffff0e, data_sig ffffff17, bytes_mixed 20 550565d1 1d836839
[    4.720053] random 0047 0000 0000 d27e527e a1930d3c: urand_change_num 835 extract_buf: pool_sig 00000240, data_sig 000000c3, bytes_mixed 20 d27e527e a1930d3c
[    4.720671] random 0047 0000 0000 7fc29604 138bd6c5: rand_read_num 276 get_random_bytes(16): sig 00000368 7fc29604 138bd6c5
[    4.720674] random 0047 0000 0000 7fc29604 138bd6c5: extract_entropy(.. 16 ..)
[    4.720677] random 0047 0000 0000 7fc29604 138bd6c5: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.720679] random 0047 0000 0000 7fc29604 138bd6c5: extract_entropy(.. 16 ..)
[    4.720682] random 0047 0000 0000 7fc29604 138bd6c5: trying to extract 128 bits from input
[    4.720684] random 0047 0000 0000 7fc29604 138bd6c5: debiting 0 entropy credits from input
[    4.720686] random 0047 0000 0000 7fc29604 138bd6c5: extract_entropy account returned: 0 
[    4.720690] random 0047 0000 0000 7fc29604 138bd6c5: urand_change_num 836 xfer_secondary_pool(16): pool_sig 00000368, data_sig 00000000, bytes_mixed 0 7fc29604 138bd6c5
[    4.720693] random 0047 0000 0000 7fc29604 138bd6c5: trying to extract 128 bits from nonblocking
[    4.720695] random 0047 0000 0000 7fc29604 138bd6c5: debiting 128 entropy credits from nonblocking (unlimited)
[    4.720698] random 0047 0000 0000 7fc29604 138bd6c5: extract_entropy account returned: 16 
[    4.720701] random 0047 0000 0000 7fc29604 138bd6c5: urand_change_num 837 extract_buf: pool_sig 00000368, data_sig ffffffc1, bytes_mixed 20 7fc29604 138bd6c5
[    4.720706] random 0047 0000 0000 7fc29604 138bd6c5: urand_change_num 838 extract_buf: pool_sig 0000051d, data_sig 00000048, bytes_mixed 20 7fc29604 138bd6c5
[    4.721334] random 0047 0000 0000 d3bc1f2b 0c2892c3: add_disk_randomness(8:0) d3bc1f2b 0c2892c3
[    4.721338] random 0047 0000 0000 d3bc1f2b 0c2892c3: add_timer_randomness(.. 8388864) with jiffies: 12519182188635152291, cycles: -5927561889369288622
[    4.721611] random 0047 0000 0000 d3bc1f2b 0c2892c3: rand_read_num 277 get_random_bytes(16): sig ffffffda d3bc1f2b 0c2892c3
[    4.721614] random 0047 0000 0000 d3bc1f2b 0c2892c3: extract_entropy(.. 16 ..)
[    4.721617] random 0047 0000 0000 d3bc1f2b 0c2892c3: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.721619] random 0047 0000 0000 d3bc1f2b 0c2892c3: extract_entropy(.. 16 ..)
[    4.721621] random 0047 0000 0000 d3bc1f2b 0c2892c3: trying to extract 128 bits from input
[    4.721624] random 0047 0000 0000 d3bc1f2b 0c2892c3: debiting 0 entropy credits from input
[    4.721626] random 0047 0000 0000 d3bc1f2b 0c2892c3: extract_entropy account returned: 0 
[    4.721629] random 0047 0000 0000 d3bc1f2b 0c2892c3: urand_change_num 839 xfer_secondary_pool(16): pool_sig ffffffda, data_sig 00000000, bytes_mixed 0 d3bc1f2b 0c2892c3
[    4.721632] random 0047 0000 0000 d3bc1f2b 0c2892c3: trying to extract 128 bits from nonblocking
[    4.721634] random 0047 0000 0000 d3bc1f2b 0c2892c3: debiting 128 entropy credits from nonblocking (unlimited)
[    4.721637] random 0047 0000 0000 d3bc1f2b 0c2892c3: extract_entropy account returned: 16 
[    4.721640] random 0047 0000 0000 d3bc1f2b 0c2892c3: urand_change_num 840 extract_buf: pool_sig ffffffda, data_sig fffffe0c, bytes_mixed 20 d3bc1f2b 0c2892c3
[    4.721645] random 0047 0000 0000 d3bc1f2b 0c2892c3: urand_change_num 841 extract_buf: pool_sig ffffff1d, data_sig fffffe81, bytes_mixed 20 d3bc1f2b 0c2892c3
[    4.722588] random 0047 0000 0000 41fc1439 0ea026c8: add_disk_randomness(8:0) 41fc1439 0ea026c8
[    4.722592] random 0047 0000 0000 41fc1439 0ea026c8: add_timer_randomness(.. 8388864) with jiffies: 12532098581223366563, cycles: -5914645496781074350
[    4.722649] random 0047 0000 0000 41fc1439 0ea026c8: add_disk_randomness(8:0) 41fc1439 0ea026c8
[    4.722653] random 0047 0000 0000 41fc1439 0ea026c8: add_timer_randomness(.. 8388864) with jiffies: 12532731629338025891, cycles: -5914012448666415022
[    4.722707] random 0047 0000 0000 41fc1439 0ea026c8: add_disk_randomness(8:0) 41fc1439 0ea026c8
[    4.722711] random 0047 0000 0000 41fc1439 0ea026c8: add_timer_randomness(.. 8388864) with jiffies: 12533324360594677667, cycles: -5913419717409763246
[    4.722764] random 0047 0000 0000 41fc1439 0ea026c8: add_disk_randomness(8:0) 41fc1439 0ea026c8
[    4.722767] random 0047 0000 0000 41fc1439 0ea026c8: add_timer_randomness(.. 8388864) with jiffies: 12533909038787649443, cycles: -5912835039216791470
[    4.722831] random 0047 0000 0000 41fc1439 0ea026c8: add_disk_randomness(8:0) 41fc1439 0ea026c8
[    4.722835] random 0047 0000 0000 41fc1439 0ea026c8: add_timer_randomness(.. 8388864) with jiffies: 12534602581516672931, cycles: -5912141496487767982
[    4.723197] random 0047 0000 0000 41fc1439 0ea026c8: add_disk_randomness(8:0) 41fc1439 0ea026c8
[    4.723202] random 0047 0000 0000 41fc1439 0ea026c8: add_timer_randomness(.. 8388864) with jiffies: 12538378424705540003, cycles: -5908365653298900910
[    4.724239] random 0047 0000 0000 41fc1439 0ea026c8: rand_read_num 278 get_random_bytes(16): sig fffffe3b 41fc1439 0ea026c8
[    4.724242] random 0047 0000 0000 41fc1439 0ea026c8: extract_entropy(.. 16 ..)
[    4.724245] random 0047 0000 0000 41fc1439 0ea026c8: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.724248] random 0047 0000 0000 41fc1439 0ea026c8: extract_entropy(.. 16 ..)
[    4.724250] random 0047 0000 0000 41fc1439 0ea026c8: trying to extract 128 bits from input
[    4.724252] random 0047 0000 0000 41fc1439 0ea026c8: debiting 0 entropy credits from input
[    4.724254] random 0047 0000 0000 41fc1439 0ea026c8: extract_entropy account returned: 0 
[    4.724258] random 0047 0000 0000 41fc1439 0ea026c8: urand_change_num 842 xfer_secondary_pool(16): pool_sig fffffe3b, data_sig 00000000, bytes_mixed 0 41fc1439 0ea026c8
[    4.724260] random 0047 0000 0000 41fc1439 0ea026c8: trying to extract 128 bits from nonblocking
[    4.724263] random 0047 0000 0000 41fc1439 0ea026c8: debiting 128 entropy credits from nonblocking (unlimited)
[    4.724265] random 0047 0000 0000 41fc1439 0ea026c8: extract_entropy account returned: 16 
[    4.724269] random 0047 0000 0000 41fc1439 0ea026c8: urand_change_num 843 extract_buf: pool_sig fffffe3b, data_sig 0000017f, bytes_mixed 20 41fc1439 0ea026c8
[    4.724274] random 0047 0000 0000 1cf2771c d22dc6fa: urand_change_num 844 extract_buf: pool_sig ffffffe2, data_sig ffffff3c, bytes_mixed 20 1cf2771c d22dc6fa
[    4.724574] random 0047 0000 0000 1cf2771c d22dc6fa: add_disk_randomness(8:0) 1cf2771c d22dc6fa
[    4.724578] random 0047 0000 0000 1cf2771c d22dc6fa: add_timer_randomness(.. 8388864) with jiffies: 12552553337200762787, cycles: -5894190740803678126
[    4.725008] random 0047 0000 0000 1cf2771c d22dc6fa: rand_read_num 279 get_random_bytes(16): sig 0000014e 1cf2771c d22dc6fa
[    4.725012] random 0047 0000 0000 1cf2771c d22dc6fa: extract_entropy(.. 16 ..)
[    4.725015] random 0047 0000 0000 1cf2771c d22dc6fa: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.725019] random 0047 0000 0000 1cf2771c d22dc6fa: extract_entropy(.. 16 ..)
[    4.725022] random 0047 0000 0000 1cf2771c d22dc6fa: trying to extract 128 bits from input
[    4.725025] random 0047 0000 0000 1cf2771c d22dc6fa: debiting 0 entropy credits from input
[    4.725029] random 0047 0000 0000 1cf2771c d22dc6fa: extract_entropy account returned: 0 
[    4.725033] random 0047 0000 0000 1cf2771c d22dc6fa: urand_change_num 845 xfer_secondary_pool(16): pool_sig 0000014e, data_sig 00000000, bytes_mixed 0 1cf2771c d22dc6fa
[    4.725037] random 0047 0000 0000 1cf2771c d22dc6fa: trying to extract 128 bits from nonblocking
[    4.725040] random 0047 0000 0000 1cf2771c d22dc6fa: debiting 128 entropy credits from nonblocking (unlimited)
[    4.725044] random 0047 0000 0000 1cf2771c d22dc6fa: extract_entropy account returned: 16 
[    4.725049] random 0047 0000 0000 1cf2771c d22dc6fa: urand_change_num 846 extract_buf: pool_sig 0000014e, data_sig ffffff7a, bytes_mixed 20 1cf2771c d22dc6fa
[    4.725057] random 0047 0000 0000 f07e1735 0e52dd54: urand_change_num 847 extract_buf: pool_sig 00000518, data_sig 00000002, bytes_mixed 20 f07e1735 0e52dd54
[    4.725083] random 0047 0000 0000 f07e1735 0e52dd54: add_disk_randomness(8:0) f07e1735 0e52dd54
[    4.725087] random 0047 0000 0000 f07e1735 0e52dd54: add_timer_randomness(.. 8388864) with jiffies: 12557794399892725667, cycles: -5888949678111715246
[    4.725165] random 0047 0000 0000 3452e7d3 d593722b: add_disk_randomness(8:0) 3452e7d3 d593722b
[    4.725169] random 0047 0000 0000 3452e7d3 d593722b: add_timer_randomness(.. 8388864) with jiffies: 12558642058933231523, cycles: -5888102019071209390
[    4.725234] random 0047 0000 0000 3452e7d3 d593722b: add_disk_randomness(8:0) 3452e7d3 d593722b
[    4.725238] random 0047 0000 0000 3452e7d3 d593722b: add_timer_randomness(.. 8388864) with jiffies: 12559356526742921123, cycles: -5887387551261519790
[    4.725327] random 0047 0000 0000 3452e7d3 d593722b: add_disk_randomness(8:0) 3452e7d3 d593722b
[    4.725330] random 0047 0000 0000 3452e7d3 d593722b: add_timer_randomness(.. 8388864) with jiffies: 12560308566373621668, cycles: -5886435511630819246
[    4.725400] random 0047 0000 0000 3452e7d3 d593722b: add_disk_randomness(8:0) 3452e7d3 d593722b
[    4.725403] random 0047 0000 0000 3452e7d3 d593722b: add_timer_randomness(.. 8388864) with jiffies: 12561061173492899748, cycles: -5885682904511541166
[    4.725463] random 0047 0000 0000 3452e7d3 d593722b: add_disk_randomness(8:0) 3452e7d3 d593722b
[    4.725467] random 0047 0000 0000 3452e7d3 d593722b: add_timer_randomness(.. 8388864) with jiffies: 12561714012816859044, cycles: -5885030065187581870
[    4.725533] random 0047 0000 0000 3452e7d3 d593722b: add_disk_randomness(8:0) 3452e7d3 d593722b
[    4.725537] random 0047 0000 0000 3452e7d3 d593722b: add_timer_randomness(.. 8388864) with jiffies: 12562432706874367908, cycles: -5884311371130073006
[    4.725593] random 0047 0000 0000 3452e7d3 d593722b: add_disk_randomness(8:0) 3452e7d3 d593722b
[    4.725597] random 0047 0000 0000 3452e7d3 d593722b: add_timer_randomness(.. 8388864) with jiffies: 12563051027546169252, cycles: -5883693050458271662
[    4.725880] random 0047 0000 0000 3452e7d3 d593722b: rand_read_num 280 get_random_bytes(16): sig fffffd87 3452e7d3 d593722b
[    4.725882] random 0047 0000 0000 3452e7d3 d593722b: extract_entropy(.. 16 ..)
[    4.725885] random 0047 0000 0000 3452e7d3 d593722b: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.725888] random 0047 0000 0000 3452e7d3 d593722b: extract_entropy(.. 16 ..)
[    4.725890] random 0047 0000 0000 3452e7d3 d593722b: trying to extract 128 bits from input
[    4.725892] random 0047 0000 0000 3452e7d3 d593722b: debiting 0 entropy credits from input
[    4.725894] random 0047 0000 0000 3452e7d3 d593722b: extract_entropy account returned: 0 
[    4.725898] random 0047 0000 0000 3452e7d3 d593722b: urand_change_num 848 xfer_secondary_pool(16): pool_sig fffffd87, data_sig 00000000, bytes_mixed 0 3452e7d3 d593722b
[    4.725900] random 0047 0000 0000 3452e7d3 d593722b: trying to extract 128 bits from nonblocking
[    4.725903] random 0047 0000 0000 3452e7d3 d593722b: debiting 128 entropy credits from nonblocking (unlimited)
[    4.725905] random 0047 0000 0000 3452e7d3 d593722b: extract_entropy account returned: 16 
[    4.725909] random 0047 0000 0000 3452e7d3 d593722b: urand_change_num 849 extract_buf: pool_sig fffffd87, data_sig 0000013e, bytes_mixed 20 3452e7d3 d593722b
[    4.725913] random 0047 0000 0000 3452e7d3 d593722b: urand_change_num 850 extract_buf: pool_sig fffffbff, data_sig fffffecc, bytes_mixed 20 3452e7d3 d593722b
[    4.726830] random 0047 0000 0000 1d55bfd5 a5ae6c10: add_disk_randomness(8:0) 1d55bfd5 a5ae6c10
[    4.726834] random 0047 0000 0000 1d55bfd5 a5ae6c10: add_timer_randomness(.. 8388864) with jiffies: 12575790742359695268, cycles: -5870953335644745646
[    4.726901] random 0047 0000 0000 1d55bfd5 a5ae6c10: add_disk_randomness(8:0) 1d55bfd5 a5ae6c10
[    4.726904] random 0047 0000 0000 1d55bfd5 a5ae6c10: add_timer_randomness(.. 8388864) with jiffies: 12576519976266948516, cycles: -5870224101737492398
[    4.726961] random 0047 0000 0000 1d55bfd5 a5ae6c10: add_disk_randomness(8:0) 1d55bfd5 a5ae6c10
[    4.726965] random 0047 0000 0000 1d55bfd5 a5ae6c10: add_timer_randomness(.. 8388864) with jiffies: 12577142432992255908, cycles: -5869601645012185006
[    4.727025] random 0047 0000 0000 1d55bfd5 a5ae6c10: add_disk_randomness(8:0) 1d55bfd5 a5ae6c10
[    4.727073] random 0047 0000 0000 1d55bfd5 a5ae6c10: add_timer_randomness(.. 8388864) with jiffies: 12578258909740851108, cycles: -5868485168263589806
[    4.727140] random 0047 0000 0000 1d55bfd5 a5ae6c10: add_disk_randomness(8:0) 1d55bfd5 a5ae6c10
[    4.727143] random 0047 0000 0000 1d55bfd5 a5ae6c10: add_timer_randomness(.. 8388864) with jiffies: 12578983427774013348, cycles: -5867760650230427566
[    4.727200] random 0047 0000 0000 1d55bfd5 a5ae6c10: add_disk_randomness(8:0) 1d55bfd5 a5ae6c10
[    4.727203] random 0047 0000 0000 1d55bfd5 a5ae6c10: add_timer_randomness(.. 8388864) with jiffies: 12579601245934641060, cycles: -5867142832069799854
[    4.727500] random 0047 0000 0000 1d55bfd5 a5ae6c10: add_disk_randomness(8:0) 1d55bfd5 a5ae6c10
[    4.727503] random 0047 0000 0000 1d55bfd5 a5ae6c10: add_timer_randomness(.. 8388864) with jiffies: 12582689177096609700, cycles: -5864054900907831214
[    4.727545] random 0047 0000 0000 1d55bfd5 a5ae6c10: rand_read_num 281 get_random_bytes(16): sig fffffbb5 1d55bfd5 a5ae6c10
[    4.727548] random 0047 0000 0000 1d55bfd5 a5ae6c10: extract_entropy(.. 16 ..)
[    4.727551] random 0047 0000 0000 1d55bfd5 a5ae6c10: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.727553] random 0047 0000 0000 1d55bfd5 a5ae6c10: extract_entropy(.. 16 ..)
[    4.727555] random 0047 0000 0000 1d55bfd5 a5ae6c10: trying to extract 128 bits from input
[    4.727557] random 0047 0000 0000 1d55bfd5 a5ae6c10: debiting 0 entropy credits from input
[    4.727560] random 0047 0000 0000 1d55bfd5 a5ae6c10: extract_entropy account returned: 0 
[    4.727563] random 0047 0000 0000 1d55bfd5 a5ae6c10: urand_change_num 851 xfer_secondary_pool(16): pool_sig fffffbb5, data_sig 00000000, bytes_mixed 0 1d55bfd5 a5ae6c10
[    4.727565] random 0047 0000 0000 1d55bfd5 a5ae6c10: trying to extract 128 bits from nonblocking
[    4.727568] random 0047 0000 0000 1d55bfd5 a5ae6c10: debiting 128 entropy credits from nonblocking (unlimited)
[    4.727570] random 0047 0000 0000 1d55bfd5 a5ae6c10: extract_entropy account returned: 16 
[    4.727574] random 0047 0000 0000 1d55bfd5 a5ae6c10: urand_change_num 852 extract_buf: pool_sig fffffbb5, data_sig fffffbda, bytes_mixed 20 1d55bfd5 a5ae6c10
[    4.727578] random 0047 0000 0000 1d55bfd5 a5ae6c10: urand_change_num 853 extract_buf: pool_sig ffffffc4, data_sig fffffedb, bytes_mixed 20 1d55bfd5 a5ae6c10
[    4.728900] random 0047 0000 0000 39b4dd81 88130f71: rand_read_num 282 get_random_bytes(16): sig 00000076 39b4dd81 88130f71
[    4.728903] random 0047 0000 0000 39b4dd81 88130f71: extract_entropy(.. 16 ..)
[    4.728906] random 0047 0000 0000 39b4dd81 88130f71: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    4.728908] random 0047 0000 0000 39b4dd81 88130f71: extract_entropy(.. 16 ..)
[    4.728911] random 0047 0000 0000 39b4dd81 88130f71: trying to extract 128 bits from input
[    4.728913] random 0047 0000 0000 39b4dd81 88130f71: debiting 0 entropy credits from input
[    4.728915] random 0047 0000 0000 39b4dd81 88130f71: extract_entropy account returned: 0 
[    4.728918] random 0047 0000 0000 39b4dd81 88130f71: urand_change_num 854 xfer_secondary_pool(16): pool_sig 00000076, data_sig 00000000, bytes_mixed 0 39b4dd81 88130f71
[    4.728921] random 0047 0000 0000 39b4dd81 88130f71: trying to extract 128 bits from nonblocking
[    4.728923] random 0047 0000 0000 39b4dd81 88130f71: debiting 128 entropy credits from nonblocking (unlimited)
[    4.728926] random 0047 0000 0000 39b4dd81 88130f71: extract_entropy account returned: 16 
[    4.728929] random 0047 0000 0000 39b4dd81 88130f71: urand_change_num 855 extract_buf: pool_sig 00000076, data_sig ffffffcf, bytes_mixed 20 39b4dd81 88130f71
[    4.728934] random 0047 0000 0000 b30b0789 b941693a: urand_change_num 856 extract_buf: pool_sig 00000001, data_sig 00000115, bytes_mixed 20 b30b0789 b941693a
